         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FREE 	FP 	SIGFP 	FCalc 	PHICalc 	
1	-32  	0  	4  	0  	52.90 	0.00 	31.23 	3.14
2	-32  	0  	5  	1  	58.43 	0.00 	41.39 	3.14
3	-31  	0  	4  	1  	37.91 	0.00 	28.82 	0.00
4	-31  	0  	5  	1  	84.78 	0.00 	98.51 	0.00
5	-31  	0  	6  	1  	74.01 	0.00 	75.92 	3.14
6	-31  	0  	7  	1  	116.73 	0.00 	86.69 	3.14
7	-31  	0  	8  	0  	106.31 	0.00 	66.21 	3.14
8	-31  	1  	4  	1  	31.86 	0.00 	38.16 	-0.35
9	-31  	1  	5  	1  	26.33 	0.00 	45.34 	-0.18
10	-31  	1  	6  	1  	29.55 	0.00 	49.20 	-2.23
11	-31  	1  	7  	1  	105.61 	0.00 	87.03 	2.68
12	-31  	1  	8  	1  	51.76 	0.00 	60.48 	2.50
13	-31  	2  	3  	1  	30.48 	0.00 	17.73 	0.24
14	-31  	2  	4  	1  	83.10 	0.00 	69.41 	1.29
15	-31  	2  	5  	1  	48.34 	0.00 	45.58 	2.81
16	-31  	2  	6  	1  	54.67 	0.00 	45.92 	-1.79
17	-31  	2  	7  	1  	38.65 	0.00 	44.46 	-1.98
18	-31  	2  	8  	1  	44.15 	0.00 	99.61 	-2.52
19	-31  	3  	3  	1  	6.02 	0.00 	37.00 	0.53
20	-31  	3  	5  	1  	44.27 	0.00 	40.50 	-2.95
21	-31  	3  	6  	1  	31.92 	0.00 	24.75 	2.09
22	-30  	0  	5  	1  	53.17 	0.00 	33.99 	3.14
23	-30  	0  	6  	1  	142.80 	0.00 	110.32 	3.14
24	-30  	0  	7  	1  	40.10 	0.00 	21.27 	0.00
25	-30  	0  	9  	1  	40.19 	0.00 	25.32 	3.14
26	-30  	0  	10  	1  	61.43 	0.00 	65.54 	0.00
27	-30  	1  	3  	1  	26.96 	0.00 	33.60 	-2.40
28	-30  	1  	4  	1  	24.66 	0.00 	50.22 	-2.13
29	-30  	1  	5  	1  	132.17 	0.00 	162.88 	-0.26
30	-30  	1  	6  	1  	45.42 	0.00 	62.68 	0.30
31	-30  	1  	7  	1  	96.00 	0.00 	58.74 	-0.45
32	-30  	1  	8  	1  	47.44 	0.00 	72.96 	-2.12
33	-30  	1  	9  	1  	34.44 	0.00 	79.78 	-1.57
34	-30  	2  	3  	0  	39.53 	0.00 	29.44 	-1.10
35	-30  	2  	4  	1  	84.03 	0.00 	113.37 	-1.34
36	-30  	2  	5  	1  	86.52 	0.00 	75.43 	-1.39
37	-30  	2  	6  	1  	38.02 	0.00 	44.36 	-0.39
38	-30  	2  	7  	1  	76.89 	0.00 	79.73 	2.92
39	-30  	2  	8  	1  	56.93 	0.00 	39.31 	1.89
40	-30  	2  	9  	1  	46.88 	0.00 	59.13 	1.65
41	-30  	3  	3  	1  	55.75 	0.00 	51.76 	-0.91
42	-30  	3  	4  	1  	153.44 	0.00 	141.60 	0.23
43	-30  	3  	5  	1  	104.88 	0.00 	77.05 	1.59
44	-30  	3  	6  	1  	39.21 	0.00 	64.50 	-0.01
45	-30  	3  	7  	1  	48.64 	0.00 	45.92 	1.94
46	-30  	3  	9  	1  	93.20 	0.00 	90.26 	2.61
47	-30  	4  	2  	1  	77.95 	0.00 	67.93 	0.88
48	-30  	4  	3  	0  	44.66 	0.00 	35.07 	0.14
49	-30  	4  	4  	1  	70.09 	0.00 	59.21 	0.71
50	-30  	4  	5  	1  	46.19 	0.00 	66.88 	0.55
51	-30  	4  	6  	1  	31.07 	0.00 	42.07 	1.11
52	-30  	4  	7  	1  	31.92 	0.00 	60.44 	1.21
53	-30  	4  	8  	1  	82.69 	0.00 	76.76 	1.43
54	-30  	5  	4  	1  	74.23 	0.00 	58.57 	-2.57
55	-30  	5  	5  	1  	79.14 	0.00 	102.61 	-1.72
56	-30  	5  	6  	1  	67.66 	0.00 	62.16 	-1.85
57	-29  	0  	4  	1  	81.50 	0.00 	109.09 	0.00
58	-29  	0  	5  	1  	51.18 	0.00 	69.97 	3.14
59	-29  	0  	7  	1  	45.68 	0.00 	27.31 	0.00
60	-29  	0  	8  	1  	100.34 	0.00 	10.32 	0.00
61	-29  	0  	9  	1  	197.52 	0.00 	190.04 	0.00
62	-29  	0  	11  	1  	53.60 	0.00 	41.28 	0.00
63	-29  	1  	3  	1  	68.97 	0.00 	88.11 	0.85
64	-29  	1  	4  	1  	83.23 	0.00 	69.60 	3.05
65	-29  	1  	5  	1  	84.51 	0.00 	70.17 	1.62
66	-29  	1  	7  	1  	116.59 	0.00 	69.58 	-2.90
67	-29  	1  	8  	1  	36.64 	0.00 	32.43 	0.85
68	-29  	1  	9  	1  	96.40 	0.00 	75.38 	-2.25
69	-29  	1  	10  	1  	58.66 	0.00 	70.32 	2.99
70	-29  	1  	11  	1  	42.29 	0.00 	19.75 	-1.44
71	-29  	2  	3  	1  	72.50 	0.00 	79.04 	2.92
