         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
1	-22  	0  	13  	33.61 	1.41 	37.92 	0.00
2	-22  	1  	11  	10.44 	4.64 	4.68 	2.22
3	-22  	1  	13  	10.16 	1.98 	6.77 	1.77
4	-22  	2  	8  	19.05 	3.33 	22.37 	1.40
5	-22  	2  	11  	17.09 	2.61 	14.01 	-2.21
6	-22  	2  	12  	22.57 	2.00 	31.11 	1.24
7	-22  	4  	10  	11.97 	5.25 	27.11 	-0.34
8	-22  	4  	11  	16.12 	3.17 	24.92 	-2.44
9	-21  	0  	12  	10.39 	4.04 	13.63 	0.00
10	-21  	1  	9  	22.22 	4.81 	26.43 	3.13
11	-21  	1  	10  	28.15 	4.74 	58.84 	2.70
12	-21  	1  	11  	35.67 	2.05 	44.86 	1.50
13	-21  	1  	12  	20.20 	2.02 	21.12 	-2.14
14	-21  	1  	13  	14.24 	8.26 	10.40 	-0.19
15	-21  	1  	14  	24.75 	0.56 	32.81 	-0.05
16	-21  	3  	6  	19.02 	6.24 	32.20 	-2.85
17	-21  	3  	11  	16.30 	3.20 	26.38 	-0.16
18	-21  	3  	12  	19.54 	2.59 	15.77 	-0.49
19	-21  	3  	13  	22.97 	4.54 	48.07 	-1.17
20	-21  	3  	14  	12.04 	2.52 	11.12 	2.60
21	-21  	4  	6  	16.15 	4.35 	10.65 	-0.16
22	-21  	4  	7  	13.78 	4.90 	8.73 	-0.34
23	-21  	4  	11  	13.05 	3.19 	10.54 	0.42
24	-21  	4  	13  	12.72 	4.52 	7.41 	-1.88
25	-21  	4  	14  	8.93 	3.07 	7.50 	2.91
26	-21  	5  	7  	43.28 	3.35 	37.80 	-0.13
27	-21  	5  	8  	16.23 	5.41 	29.90 	1.78
28	-21  	5  	9  	18.08 	5.34 	20.35 	1.48
29	-21  	5  	10  	17.84 	2.05 	22.09 	0.45
30	-21  	5  	11  	25.97 	1.44 	40.43 	-1.32
31	-21  	5  	12  	32.19 	2.56 	39.94 	-0.25
32	-21  	5  	13  	26.71 	2.53 	36.88 	0.93
33	-21  	6  	8  	15.54 	5.98 	9.18 	-2.40
34	-21  	7  	10  	30.02 	2.60 	44.37 	-0.75
35	-20  	0  	8  	29.10 	4.90 	18.55 	0.00
36	-20  	0  	13  	46.60 	1.44 	60.66 	3.14
37	-20  	0  	14  	31.27 	1.42 	33.65 	0.00
38	-20  	1  	4  	32.00 	5.82 	21.95 	2.41
39	-20  	1  	6  	17.61 	7.86 	5.76 	1.28
40	-20  	1  	8  	19.90 	4.29 	14.52 	0.42
41	-20  	1  	13  	15.52 	5.17 	8.06 	-1.40
42	-20  	2  	5  	20.05 	5.73 	15.36 	2.37
43	-20  	2  	9  	26.55 	3.32 	32.22 	-1.33
44	-20  	2  	10  	12.21 	5.36 	7.43 	-1.71
45	-20  	2  	12  	30.21 	2.61 	30.93 	-0.85
46	-20  	2  	13  	27.27 	4.59 	23.73 	-2.38
47	-20  	2  	14  	26.94 	1.42 	27.87 	-2.81
48	-20  	4  	4  	50.65 	2.89 	41.03 	-3.13
49	-20  	4  	5  	19.29 	5.69 	54.84 	-0.27
50	-20  	4  	6  	46.47 	5.61 	57.96 	-1.37
51	-20  	4  	7  	27.08 	2.15 	27.95 	-1.95
52	-20  	4  	8  	19.13 	2.73 	12.61 	0.95
53	-20  	4  	9  	26.98 	2.70 	19.53 	1.77
54	-20  	4  	10  	25.45 	5.92 	17.71 	2.92
55	-20  	4  	11  	17.24 	2.05 	44.24 	-0.20
56	-20  	4  	12  	27.42 	2.60 	32.91 	0.66
57	-20  	4  	13  	19.39 	1.43 	13.06 	1.69
58	-20  	4  	14  	9.58 	1.97 	7.63 	1.76
59	-20  	4  	15  	5.57 	1.95 	22.39 	-0.26
60	-20  	5  	6  	16.14 	4.35 	11.70 	0.03
