         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
1	-32  	0  	2  	1  	27.47 	12.63 	13.70 	3.14 	12.27 	3.14 	20.69 	3.14 	8.42 	3.14 	0.60 	13.36 	3.14
2	-32  	0  	4  	1  	18.86 	25.72 	3.87 	3.14 	3.47 	3.14 	0.97 	0.00 	4.44 	0.00 	0.07 	4.14 	3.14
3	-32  	0  	5  	1  	89.22 	5.13 	81.37 	0.00 	72.93 	6.28 	105.51 	6.28 	32.58 	6.28 	1.00 	81.33 	6.28
4	-32  	0  	7  	1  	25.65 	12.43 	10.30 	0.00 	9.19 	0.00 	14.02 	0.00 	4.83 	0.00 	0.45 	10.55 	0.00
5	-32  	0  	8  	0  	38.50 	8.54 	55.29 	0.00 	49.19 	0.00 	49.19 	0.00 	0.00 	0.00 	0.00 	55.70 	0.00
6	-32  	0  	9  	1  	20.66 	21.05 	9.75 	3.14 	8.64 	3.14 	0.70 	3.14 	7.94 	0.00 	0.23 	8.87 	3.14
7	-32  	1  	1  	0  	60.53 	5.06 	47.70 	3.29 	42.60 	3.29 	42.60 	3.29 	0.00 	0.00 	0.00 	47.54 	3.29
8	-32  	1  	2  	1  	6.12 	45.91 	31.29 	2.64 	28.00 	2.64 	27.54 	5.78 	55.54 	5.78 	0.04 	31.15 	2.64
9	-32  	1  	3  	1  	50.28 	6.80 	53.20 	3.71 	47.67 	3.71 	48.39 	3.71 	0.72 	3.71 	0.96 	53.71 	3.72
10	-32  	1  	4  	1  	32.31 	8.64 	28.99 	1.69 	25.99 	1.69 	28.47 	1.69 	2.48 	1.69 	0.84 	28.80 	1.70
11	-32  	1  	5  	1  	36.98 	7.27 	28.29 	5.16 	25.34 	5.16 	39.40 	5.16 	14.05 	5.16 	0.88 	28.39 	5.16
12	-32  	1  	6  	1  	18.47 	12.07 	30.79 	4.75 	27.54 	4.75 	4.28 	1.61 	31.82 	1.61 	0.63 	30.46 	4.75
13	-32  	1  	7  	1  	56.30 	4.40 	72.71 	5.88 	64.87 	5.88 	44.85 	5.88 	20.02 	2.74 	0.97 	73.23 	5.87
14	-32  	2  	1  	0  	43.53 	7.73 	48.79 	0.77 	43.50 	0.77 	43.50 	0.77 	0.00 	0.00 	0.00 	48.66 	0.76
15	-32  	2  	2  	0  	16.33 	21.57 	38.23 	4.25 	34.16 	4.25 	34.16 	4.25 	0.00 	0.00 	0.00 	38.25 	4.26
16	-32  	2  	3  	0  	54.94 	4.57 	25.13 	0.09 	22.48 	0.09 	22.48 	0.09 	0.00 	0.00 	0.00 	25.01 	0.08
17	-32  	2  	4  	0  	22.79 	11.73 	32.66 	1.90 	29.22 	1.90 	29.22 	1.90 	0.00 	0.00 	0.00 	32.92 	1.89
18	-32  	2  	5  	1  	52.48 	6.41 	49.99 	2.75 	44.71 	2.75 	55.55 	2.75 	10.84 	2.75 	0.96 	50.19 	2.76
19	-32  	2  	6  	0  	54.94 	6.17 	46.56 	0.91 	41.58 	0.91 	41.58 	0.91 	0.00 	0.00 	0.00 	46.30 	0.91
20	-32  	2  	7  	1  	42.59 	6.33 	55.08 	1.43 	49.07 	1.43 	31.82 	1.43 	17.25 	4.57 	0.95 	54.61 	1.43
21	-32  	3  	1  	1  	32.40 	8.30 	35.12 	3.29 	31.23 	3.29 	25.46 	3.29 	5.76 	0.15 	0.87 	35.58 	3.29
22	-32  	3  	2  	1  	28.80 	9.34 	12.59 	4.76 	11.22 	4.76 	19.74 	4.76 	8.52 	4.76 	0.54 	12.79 	4.77
23	-32  	3  	3  	1  	18.20 	16.18 	42.46 	5.53 	37.88 	5.53 	15.17 	2.39 	53.06 	2.39 	0.62 	42.54 	5.54
