         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l           FP        SIGFP        FCalc      PHICalc
       -29          3          9     296.20        35.99       210.92         1.85
       -29          3         10     377.33        29.27       378.26        -2.67
       -29          4          9     253.37        39.98       142.38         2.35
       -29          4         10     435.54        28.90       279.02        -0.82
       -29          4         11     171.85        50.29       305.82        -0.29
       -29          5          8     359.86        32.10       284.27         2.31
       -29          5         11     285.48        37.67       247.04         2.52
       -29          6          8     187.77        53.99       263.22        -2.76
       -29          6          9     161.61        61.15       141.71        -1.87
       -29          6         10     231.14        43.69       313.73        -1.13
       -29          6         11     139.80        63.55       207.33        -2.96
       -29          7          8     225.93        48.92       216.67        -0.54
       -29          7          9      17.90       551.05       207.02         0.53
       -29          8          7     281.36        41.84       284.13         2.42
       -29          8          8      76.54       142.72       359.33         3.10
       -29          8          9     108.47        98.90       258.25         2.08
       -28          1         10     134.56        53.27       137.59        -2.83
       -28          1         11      99.05        71.42        12.99        -0.75
       -28          1         12     143.62        47.35       216.85         2.71
       -28          2         11     145.28        57.24       129.97         2.99
       -28          3          1     144.28        46.78       221.22         2.38
       -28          3          9     153.67        53.73        64.69        -2.25
       -28          3         10     322.78        30.03       291.48         3.02
       -28          3         11     534.15        22.12       434.60        -2.49
       -28          3         12     114.56        76.24       232.90         3.05
       -28          3         13     134.68        64.38       230.32        -1.68
       -28          4          1     254.62        30.30       151.29        -1.01
       -28          4          8      44.68       201.25       228.60         1.47
       -28          4          9     151.07        63.27       177.73        -0.11
       -28          4         10     321.94        32.83       268.30        -2.29
       -28          4         11     276.85        34.41       243.82        -1.16
       -28          4         12     108.75        79.09       115.83        -1.10
       -28          4         13     259.76        35.58       276.73        -0.38
       -28          5          1     200.98        38.23       152.87         0.64
       -28          5          7     271.90        36.02       210.69        -2.55
       -28          5          9     150.88        62.57       102.78        -1.85
       -28          5         10     182.97        49.11       230.98        -0.98
       -28          5         11     268.12        35.25       121.62         2.26
       -28          5         12     171.47        51.48       148.61         2.70
       -28          5         13     195.58        46.72       155.27         1.36
       -28          5         14      74.01       110.42       373.43         1.19
       -28          6          7      94.75        99.11       464.21        -1.46
       -28          6          8     124.13        79.71       150.18         0.93
       -28          6         10     347.51        32.93       396.74        -0.84
       -28          6         11     211.05        48.79       187.67        -0.46
       -28          6         13     394.98        28.95       237.35        -2.10
       -28          6         14      86.42       105.85       114.03        -1.24
       -28          7          8     293.25        38.54       221.04         1.62
       -28          7          9     240.45        44.51        80.90        -1.13
       -28          7         10     316.80        36.57       206.46         0.60
       -28          7         11     127.99        73.93       200.07        -2.50
       -28          7         12      84.26       120.42       273.57        -0.11
       -28          7         13     333.38        32.19       357.74        -0.49
       -28          8          6     252.30        45.37       231.85        -0.65
       -28          8          7     101.52       105.50       382.47         1.07
       -28          8          8     246.12        37.44        55.49        -2.15
       -28          8          9     305.13        40.23       161.29         1.70
       -28          8         11     146.61        73.30       191.70        -0.36
       -28          8         12     260.12        42.22       216.31         2.00
       -28          9          7      64.66       173.63       241.30         1.08
       -28          9          8      45.12       246.76       102.26        -1.03
       -28          9          9      25.16       452.49        54.38         3.01
       -28          9         10     299.96        36.35       279.68         2.43
       -28          9         11     143.79        78.29       216.68         2.31
       -28         10          6     118.84        94.03       179.06        -0.98
       -27          0         10      68.58        96.56       129.39         3.14
       -27          1          9     202.59        35.87       104.65         2.75
       -27          1         10     357.91        25.62       248.16         2.76
       -27          1         11     221.52        34.69       148.80        -0.79
       -27          1         12     237.64        33.50       387.56         0.28
       -27          1         13     102.04        66.59        24.57        -1.79
       -27          1         14     424.57        21.27       297.68        -3.11
       -27          1         15     103.14        62.98       215.45        -2.95
       -27          2          1     116.98        58.88       258.89         1.37
       -27          2          9     284.31        27.21       274.05         2.40
       -27          2         10     265.40        31.15       346.00        -3.12
       -27          2         11     174.30        43.38       144.63         1.23
       -27          2         12     132.48        54.80       100.17        -0.30
       -27          2         13     282.23        29.17       288.01        -1.00
       -27          2         14     290.79        31.13       184.70        -0.66
       -27          2         15     117.36        64.98       169.74         1.87
       -27          2         16     120.05        61.79       200.01        -1.58
       -27          3          1      70.71        91.53       200.31         0.81
       -27          3          2      91.62        72.35       323.20         2.49
       -27          3          8     298.68        31.56       484.79        -2.15
       -27          3          9     275.85        31.96       298.82        -1.76
       -27          3         10     120.37        67.88       197.18        -0.82
       -27          3         11     226.92        36.31       182.85         2.96
       -27          3         12     310.93        29.59       162.87         0.86
       -27          3         13     426.03        24.06       515.56         0.71
       -27          3         14     199.13        41.80       203.28         1.73
       -27          3         15     150.16        54.39       210.08         2.42
       -27          3         16     115.41        68.54       313.19        -0.04
       -27          3         17     101.95        76.36       120.09         2.24
       -27          4          1     394.05        22.81       314.46         1.64
