      104m     137l     169l  1a28  1a2a    19hc  105m    153l    154l    157d     176l    180l     1a3a     1a01  1a02  1a0o  1a2a  1a2j    135l
0      1.0    54.60   258.68   1.0   1.0   24.57   0.0   39.44   33.34   33.61    23.85   26.85    34.64    65.52   1.0   0.0   1.0   1.0   39.65
1      1.0    55.67   101.44   1.0   1.0   88.67   1.0   72.28   34.34   10.44    51.11   55.72    44.26   156.32   1.0   1.0   1.0   1.0   67.41
2      1.0    66.73   304.50   1.0   1.0  136.68   1.0   19.73   55.34   10.16   112.97   39.55    26.13    71.39   1.0   1.0   1.0   1.0   50.47
3      1.0    84.02   193.02   1.0   1.0  148.27   1.0   35.27   54.69   19.05   160.43   47.24   152.89    56.50   1.0   1.0   1.0   1.0   40.67
4      1.0    60.68   453.39   0.0   1.0  116.38   1.0   36.25   68.58   17.09   145.62   16.33   106.58    73.35   1.0   1.0   1.0   1.0   34.70
5      1.0    81.01   378.37   1.0   1.0  154.63   1.0   43.68   11.65   22.57   188.50   49.40    16.78    64.59   1.0   1.0   1.0   1.0   36.71
6      1.0    90.06   218.54   0.0   1.0   42.84   0.0   32.26   36.35   11.97   112.72   30.90    77.73   111.41   0.0   1.0   1.0   1.0   35.49
7      1.0    63.47   372.06   1.0   0.0   20.52   1.0   37.27    8.59   16.12   123.73   34.66     8.79    66.84   1.0   1.0   0.0   1.0   31.18
8      1.0    59.50   430.45   1.0   1.0   26.61   1.0   50.14   43.68   10.39   125.49   43.73    73.81    36.32   1.0   1.0   1.0   1.0   28.95
9      1.0    35.33   378.28   1.0   1.0  159.52   1.0   44.94   90.74   22.22   116.81   56.03    89.98    55.60   1.0   1.0   1.0   1.0   24.31
10     1.0    90.46   724.71   1.0   1.0  126.67   1.0   87.39   11.36   28.15    97.79   31.31    13.62    46.10   1.0   1.0   1.0   1.0   43.92
11     0.0   133.84   405.61   1.0   1.0  201.06   1.0   18.38   18.60   35.67    75.39   49.78    77.95   164.48   1.0   1.0   1.0   0.0   30.30
12     1.0    81.61   358.73   1.0   1.0   33.47   1.0   70.09   36.88   20.20    70.06   24.84   182.15    44.94   0.0   1.0   1.0   1.0   33.84
13     1.0    58.50   178.00   0.0   1.0   79.85   1.0   33.67   55.64   14.24    81.50   11.23   121.05    35.37   1.0   1.0   1.0   1.0   27.98
14     1.0    81.77   303.78   0.0   1.0  103.31   1.0   26.02   27.71   24.75   176.08    9.30    64.31    65.74   1.0   1.0   1.0   1.0   40.48
15     1.0    53.28   248.14   0.0   1.0   65.40   1.0   87.93   26.24   19.02   229.28   55.86    47.33    78.08   1.0   1.0   1.0   1.0   32.64
