         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -34          0          8          1      22.69      15.09      38.37       3.14      17.25       3.14      10.41       0.00      27.65       0.00       0.15      26.11       3.14
       -34          0          9          1      42.40      19.63       2.50       0.00       2.55       3.14       0.74       3.14       1.81       0.00       0.04       4.06       3.14
       -34          0         10          1      21.49      14.88      42.04       0.00      33.34       0.00      22.03       3.14      55.37       3.14       0.26      50.76       0.00
       -34          0         11          1      20.31      14.00      27.95       3.14      16.72       3.14      11.56       0.00      28.29       0.00       0.13      25.12       3.14
       -34          0         12          1      22.42      14.80       5.19       3.14       9.46       3.14       5.95       0.00      15.41       0.00       0.08      14.69       3.14
       -34          0         13          1      14.45      10.63      33.61       0.00      27.51       0.00      23.12       3.14      50.63       3.14       0.15      41.83       0.00
       -34          0         14          1     116.60       8.87       3.44       3.14       0.17       6.28       1.63       6.28       1.46       6.28       0.01       0.43       6.28
       -34          0         15          1      82.58      12.80      16.46       0.00      14.42       0.00      55.88       0.00      41.47       0.00       0.43      22.00       0.00
       -34          0         16          1      35.61      20.24      37.66       3.14      14.68       3.14       1.69       0.00      16.37       0.00       0.18      21.71       3.14
       -34          0         17          1      34.11      19.73       5.30       3.14       8.20       3.14       1.33       0.00       9.53       0.00       0.10      12.64       3.14
       -34          0         18          1      66.77      15.37      25.60       0.00      14.13       6.28      32.95       6.28      18.81       6.28       0.35      21.56       6.28
       -34          1          8          1      48.68      13.63      35.62       1.05      26.98       1.06      15.50       1.06      11.49       4.21       0.44      41.28       1.06
       -34          1          9          1      59.27      11.16      31.50       3.76      14.71       3.88      22.55       3.88       7.84       3.88       0.31      22.15       3.89
       -34          1         10          1      40.22      12.88      54.77       1.90      36.32       1.98       1.30       1.98      35.03       5.12       0.47      55.06       1.98
       -34          1         11          1      22.82      10.73      15.62       0.37      13.06       0.40       8.01       3.54      21.06       3.54       0.11      19.90       0.40
       -34          1         12          1      32.44      13.10      35.41       5.15      31.72       5.00       9.41       1.86      41.13       1.86       0.34      48.45       5.00
       -34          1         13          1      29.20      12.32      39.92       4.28      23.40       4.38       9.41       1.24      32.81       1.24       0.24      35.12       4.39
       -34          1         14          1      43.68      14.63      30.09       0.24      19.57       0.38       5.22       0.38      14.34       3.52       0.28      29.54       0.38
       -34          1         15          1      73.06       9.99      62.82       1.53      40.55       1.68      66.74       1.68      26.19       1.68       0.73      61.32       1.68
       -34          1         16          1      72.57      10.06      38.98       1.08      25.02       0.96      57.44       0.96      32.42       0.96       0.57      37.93       0.96
       -34          1         17          1     147.46       5.88     119.75       4.93      84.21       4.95     195.87       4.95     111.66       4.95       0.95     128.42       4.95
       -34          2          9          1      65.90       9.58      39.98       4.84      25.66       4.64      47.51       4.64      21.86       4.64       0.56      39.18       4.64
       -34          2         10          1      75.96       9.61      72.36       4.17      47.35       4.12      73.48       4.12      26.13       4.12       0.80      72.06       4.12
       -34          2         11          1      71.98       9.23      36.97       1.54      28.82       1.45      60.91       1.45      32.10       1.45       0.62      43.95       1.45
       -34          2         12          1      31.52      13.07      21.48       5.39      18.21       5.33       5.36       2.19      23.57       2.19       0.20      27.81       5.33
       -34          2         13          1      60.92      11.34      59.45       0.14      38.97       0.19      41.12       0.19       2.15       0.19       0.66      59.05       0.19
       -34          2         14          1      31.86      12.79      78.79       0.60      51.91       0.71      19.06       3.85      70.97       3.85       0.52      78.75       0.71
       -34          2         15          1      67.00      12.54      23.24       1.33      17.00       1.39      34.98       1.39      17.97       1.39       0.39      25.91       1.40
       -34          2         16          1      52.22      11.44      59.16       4.62      37.60       4.66      24.65       4.66      12.95       1.52       0.60      57.27       4.66
       -34          3         12          1      40.11      13.34      71.53       4.89      53.47       4.75       3.79       1.61      57.27       1.61       0.62      81.81       4.75
       -34          3         13          1      60.79       9.39      75.21       5.29      42.06       5.18      43.51       5.18       1.46       5.18       0.70      64.08       5.18
       -34          3         14          1      24.52      11.04      10.63       6.22       9.29       0.22       4.96       3.36      14.25       3.36       0.09      14.24       0.22
       -33          0          2          1      24.20      15.41      46.53       0.00      35.16       0.00      20.19       3.14      55.35       3.14       0.31      53.49       0.00
       -33          0          3          1      82.34       9.41      39.19       0.00      28.37       0.00      88.65       0.00      60.28       0.00       0.71      42.74       0.00
       -33          0          4          1      36.85      17.50      21.92       0.00      11.61       6.28       1.00       3.14      12.61       3.14       0.14      16.83       6.28
       -33          0          5          1      57.63      14.82       3.49       0.00      11.96       0.00      14.41       0.00       2.45       0.00       0.23      19.23       0.00
       -33          0          6          1      29.59      17.86      15.32       0.00       6.60       6.28       2.92       3.14       9.52       3.14       0.06       8.88       6.28
       -33          0          7          1      16.65      11.97      25.00       3.14      20.45       3.14      16.73       0.00      37.18       0.00       0.11      30.47       3.14
       -33          0          8          1      34.86      18.68      43.09       0.00      32.54       0.00       9.49       3.14      42.03       3.14       0.33      47.76       0.00
       -33          0          9          1      76.01      10.78      61.28       0.00      39.38       6.28      73.79       6.28      34.41       6.28       0.74      55.90       6.28
       -33          0         10          1      41.09      18.18      51.77       3.14      40.30       3.14       2.85       0.00      43.15       0.00       0.46      59.09       3.14
       -33          0         11          1      47.70      21.95      62.22       0.00      38.20       6.28       6.97       6.28      31.23       3.14       0.47      53.25       6.28
       -33          0         12          1      84.18      10.50      40.13       0.00      23.40       6.28      69.31       6.28      45.91       6.28       0.55      32.17       6.28
       -33          0         13          1      19.82      13.75       1.29       0.00       9.85       0.00       7.48       3.14      17.32       3.14       0.06      16.75       0.00
       -33          0         14          1      19.40      13.61     109.12       0.00      70.41       6.28      54.97       3.14     125.38       3.14       0.40      99.34       6.28
       -33          0         15          1      23.83      15.96       7.85       3.14       3.86       6.28       2.53       3.14       6.39       3.14       0.03       8.17       6.28
