         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -39          0          3          1      60.87      36.35      21.87       0.00      15.16       6.28      18.92       6.28       3.77       6.28       0.28      21.30       6.28
       -39          0          4          1      29.92      22.06      16.59       0.00      11.79       0.00       2.49       3.14      14.29       3.14       0.16      17.20       0.00
       -39          0          5          1      34.01      23.79       6.54       3.14       4.76       3.14       0.19       3.14       4.57       0.00       0.07       7.15       3.14
       -39          0          6          1      47.70      29.73      83.00       3.14      61.62       3.14      18.06       3.14      43.55       0.00       0.84      81.92       3.14
       -39          0          7          1      64.00      33.85      93.37       3.14      70.55       3.14      49.60       3.14      20.95       0.00       0.94      92.60       3.14
       -39          0          8          1      74.64      35.63       6.77       3.14       5.20       3.14      16.42       3.14      11.22       3.14       0.14       8.16       3.14
       -39          0          9          1      69.76      35.56      85.24       0.00      66.24       0.00      65.65       0.00       0.59       3.14       0.95      86.20       0.00
       -39          0         10          1     158.09      20.38     166.93       3.14     131.09       3.14     185.09       3.14      54.00       3.14       1.00     166.49       3.14
       -39          0         11          1      35.25      24.86      32.52       0.00      25.62       6.28       5.51       6.28      20.11       3.14       0.44      32.43       6.28
       -39          0         12          1      38.94      26.99      45.15       3.14      35.59       3.14      10.41       3.14      25.19       0.00       0.59      45.82       3.14
       -39          0         13          1      45.57      30.15     126.86       0.00     100.07       0.00      11.99       3.14     112.06       3.14       0.97     127.10       0.00
       -39          0         14          1     181.33      21.66     124.41       0.00      98.17       0.00     264.49       0.00     166.32       0.00       1.00     124.67       0.00
       -39          0         15          1      56.04      37.42      42.91       3.14      33.86       3.14      33.34       3.14       0.52       0.00       0.60      42.50       3.14
       -39          0         16          1      66.43      42.04      68.48       3.14      54.02       3.14      55.01       3.14       1.00       3.14       0.82      68.96       3.14
       -39          0         17          1      43.57      30.90      72.40       3.14      57.07       3.14      12.63       3.14      44.44       0.00       0.80      72.61       3.14
       -39          0         18          1      90.93      43.20      15.44       3.14      12.15       3.14      49.22       3.14      37.07       3.14       0.34      14.56       3.14
       -39          0         19          1      56.64      37.58      53.40       0.00      41.86       0.00      38.21       0.00       3.65       3.14       0.71      54.21       0.00
       -39          0         20          1      81.93      42.81      83.40       3.14      64.66       3.14      88.03       3.14      23.37       3.14       0.93      83.09       3.14
       -39          0         21          1      61.99      38.21     123.27       0.00      94.32       0.00      25.54       0.00      68.78       3.14       0.97     123.79       0.00
       -39          0         22          1      44.37      30.93      49.56       3.14      37.33       3.14      15.08       3.14      22.25       0.00       0.59      49.51       3.14
       -39          0         23          1      62.46      38.33      66.71       3.14      49.34       3.14      46.46       3.14       2.88       0.00       0.77      66.77       3.14
       -39          0         24          1      85.16      46.50      82.87       0.00      60.04       0.00      88.10       0.00      28.06       0.00       0.87      84.34       0.00
       -39          0         25          1      45.97      31.84      40.32       0.00      28.54       6.28      11.63       6.28      16.91       3.14       0.44      40.17       6.28
       -39          0         26          1      55.32      37.36      29.78       0.00      20.53       6.28      16.05       6.28       4.48       3.14       0.33      29.71       6.28
       -39          1          3          1      87.52      19.34     109.10       2.98      75.37       2.98      80.93       2.98       5.56       2.98       0.89     109.04       2.99
       -39          1          4          1      63.33      19.05      55.79       5.51      39.55       5.51      48.81       5.51       9.26       5.51       0.70      55.50       5.51
       -39          1          5          1      75.20      21.94      59.17       1.81      42.92       1.81      71.34       1.81      28.42       1.81       0.76      58.69       1.83
       -39          1          6          1      60.11      19.31      55.54       3.25      41.11       3.25      45.28       3.25       4.17       3.25       0.72      56.55       3.24
       -39          1          7          1      62.29      19.02      90.77       3.06      68.38       3.06      38.50       3.06      29.88       6.20       0.86      90.77       3.06
       -39          1          8          1      63.30      19.41      64.61       5.56      49.42       5.56      52.13       5.56       2.71       5.56       0.80      66.08       5.56
       -39          1          9          1      61.44      18.79      72.03       5.40      55.81       5.40      46.56       5.40       9.26       2.26       0.83      71.58       5.39
       -39          1         10          1      90.30      21.22     131.04       4.18     102.61       4.18      66.99       4.18      35.62       1.04       0.94     129.81       4.19
       -39          1         11          1      62.31      19.75      65.77       5.99      51.78       5.99      50.39       5.99       1.39       2.85       0.82      65.80       6.00
       -39          1         12          1      63.52      20.49      54.75       5.85      43.15       5.85      54.84       5.85      11.70       5.85       0.77      54.35       5.82
       -39          1         13          1      65.94      21.24      90.93       0.68      71.70       0.68      43.39       0.68      28.31       3.82       0.87      91.02       0.68
       -39          1         14          1     173.36      19.24     167.65       1.35     132.23       1.35     206.57       1.35      74.33       1.35       0.98     168.03       1.35
       -39          1         15          0     148.58      18.79     173.49       2.21     136.84       2.21     136.84       2.21       0.00       0.00       0.00     174.76       2.21
       -39          1         16          1      58.45      19.37      15.96       1.15      12.58       1.15      26.58       1.15      14.00       1.15       0.34      15.71       1.18
       -39          1         17          1      75.14      23.08      96.87       0.90      76.33       0.90      57.40       0.90      18.93       4.04       0.89      96.32       0.90
       -39          1         18          1     115.27      26.29     107.51       2.71      84.63       2.71     129.63       2.71      45.01       2.71       0.93     107.21       2.71
       -39          1         19          1      64.13      21.32      50.62       1.21      39.56       1.21      55.59       1.21      16.02       1.21       0.74      50.99       1.21
       -39          1         20          1     183.80      21.92     166.53       3.31     128.74       3.31     229.76       3.31     101.03       3.31       0.98     165.92       3.31
       -39          1         21          1      93.47      25.88     101.59       5.01      77.49       5.01      90.55       5.01      13.06       5.01       0.90     101.06       5.01
       -39          1         22          1      75.45      22.97      68.49       2.38      51.43       2.38      71.22       2.38      19.79       2.38       0.81      67.51       2.38
       -39          1         23          1      85.68      24.30      96.42       4.83      71.11       4.83      79.21       4.83       8.10       4.83       0.88      96.44       4.83
       -39          1         24          1      95.28      24.93      87.82       1.75      63.44       1.75     101.97       1.75      38.53       1.75       0.87      87.65       1.76
       -39          1         25          1      98.34      25.39     101.38       5.52      71.53       5.52     101.91       5.52      30.38       5.52       0.88     100.92       5.53
       -39          1         26          1      81.69      24.42      78.13       2.35      53.69       2.35      76.24       2.35      22.54       2.35       0.80      77.69       2.36
       -39          2          3          1     110.90      21.81      61.64       0.74      42.17       0.74     140.95       0.74      98.78       0.74       0.83      61.28       0.73
       -39          2          4          1      52.58      17.36      18.74       2.77      13.16       2.77      15.67       2.77       2.51       2.77       0.27      19.42       2.79
       -39          2          5          1      83.32      20.58     118.35       1.50      85.06       1.50      65.66       1.50      19.39       4.64       0.90     118.51       1.50
       -39          2          6          1      58.04      18.28      86.40       4.18      63.37       4.18      32.39       4.18      30.98       1.04       0.83      86.26       4.18
       -39          2          7          1      90.64      22.53      91.59       1.30      68.39       1.30      93.03       1.30      24.64       1.30       0.89      91.03       1.30
       -39          2          8          1      74.36      21.25      57.01       5.77      43.22       5.77      73.97       5.77      30.75       5.77       0.79      57.07       5.75
       -39          2          9          1      72.70      21.14      36.12       1.53      27.74       1.53      67.71       1.53      39.96       1.53       0.66      36.09       1.53
       -39          2         10          1      54.26      18.31      51.46       4.97      39.95       4.97      38.56       4.97       1.39       1.82       0.72      51.84       4.97
       -39          2         11          1      97.44      23.47      38.54       5.68      30.17       5.68     118.12       5.68      87.95       5.68       0.76      36.52       5.68
       -39          2         12          0      47.59      16.37      76.86       0.04      60.49       0.04      60.49       0.04       0.00       0.00       0.00      78.14       0.04
       -39          2         13          1      53.89      17.79      31.09       4.21      24.48       4.21      36.36       4.21      11.88       4.21       0.56      30.90       4.22
       -39          2         14          1      73.28      22.31      30.94       4.87      24.38       4.87      65.23       4.87      40.85       4.87       0.61      31.19       4.85
       -39          2         15          1      77.14      21.35      88.55       2.90      69.75       2.90      67.67       2.90       2.08       6.05       0.89      88.98       2.90
       -39          2         16          1      62.54      20.04      48.32       3.07      38.05       3.07      54.45       3.07      16.40       3.07       0.74      49.24       3.09
       -39          2         17          1      83.37      23.75     114.08       0.95      89.77       0.95      63.04       0.95      26.73       4.09       0.92     114.02       0.96
       -39          2         18          1      80.88      23.48      92.79       4.53      72.54       4.53      71.59       4.53       0.95       1.39       0.89      93.23       4.53
       -39          2         19          0     106.30      23.74     102.77       3.35      79.63       3.35      79.63       3.35       0.00       0.00       0.00     102.46       3.35
       -39          2         20          1      88.65      24.00      87.04       2.86      66.70       2.86      90.08       2.86      23.38       2.86       0.88      86.89       2.87
       -39          2         21          1      97.24      24.27      93.80       5.30      70.93       5.30     103.77       5.30      32.84       5.30       0.90      94.37       5.30
       -39          2         22          1     109.43      25.42     110.57       2.57      82.30       2.57     118.52       2.57      36.22       2.57       0.92     110.09       2.57
       -39          2         23          1      72.47      23.21     101.84       5.93      74.42       5.93      50.62       5.93      23.80       2.79       0.86     100.88       5.94
