         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -41          0          2          1      12.33       8.87      26.57       3.14      19.79       3.14       0.20       3.14      19.59       0.00       0.81      26.58       3.14
       -41          0          3          1      31.05      13.62      15.95       3.14      11.92       3.14      38.51       3.14      26.59       3.14       0.81      15.95       3.14
       -41          0          4          1      27.62      17.13      19.80       0.00      14.82       6.28      25.67       6.28      10.84       6.28       0.73      19.79       6.28
       -41          0          5          1      14.75       9.74      21.93       0.00      16.46       0.00       6.11       0.00      10.35       3.14       0.76      21.93       0.00
       -41          0          6          1      37.29      19.02      17.01       0.00      12.77       0.00      41.95       0.00      29.17       0.00       0.73      17.01       0.00
       -41          0          7          1      41.59      22.88      37.12       3.14      27.89       3.14      50.23       3.14      22.34       3.14       0.94      37.13       3.14
       -41          0          8          1      23.99      13.31      18.28       0.00      13.72       0.00      23.19       0.00       9.47       0.00       0.77      18.29       0.00
       -41          0          9          1      22.10      13.45      27.02       0.00      20.24       6.28      18.65       6.28       1.59       3.14       0.88      27.02       6.28
       -41          0         10          1      12.23       8.83      20.23       3.14      15.13       3.14       1.69       3.14      13.44       0.00       0.69      20.24       3.14
       -41          0         11          1      28.77      14.35      19.83       0.00      14.77       0.00      33.81       0.00      19.04       0.00       0.84      19.83       0.00
       -41          1          3          1      14.08       6.88       8.68       5.26       6.48       5.26       3.72       5.26       2.76       2.12       0.36       8.68       5.26
       -41          1          4          1      15.86       7.26       5.59       4.94       4.19       4.94       4.01       4.94       0.18       1.80       0.26       5.60       4.94
       -41          1          5          1      23.04       9.32      26.87       2.77      20.14       2.77      16.88       2.77       3.27       5.91       0.80      26.87       2.77
       -41          1          6          1      20.73       9.68       2.84       1.56       2.12       1.56       3.30       1.56       1.18       1.56       0.13       2.83       1.56
       -41          1          7          1      20.71       9.22      19.30       2.47      14.48       2.47      13.71       2.47       0.76       5.61       0.68      19.30       2.47
       -41          1          8          1      30.41      10.63      27.59       5.89      20.68       5.89      30.12       5.89       9.44       5.89       0.84      27.59       5.89
       -41          1          9          0      28.09       9.91      25.34       5.83      18.96       5.83      18.96       5.83       0.00       0.00       0.00      25.34       5.83
       -41          1         10          1      16.83       8.13       3.13       0.16       2.34       0.16       2.47       0.16       0.13       0.16       0.14       3.13       0.16
       -41          2          4          1      31.70       9.43      33.19       5.28      24.76       5.28      31.79       5.28       7.03       5.28       0.89      33.19       5.28
       -41          2          5          1      27.16       9.65      19.55       0.93      14.60       0.93      26.47       0.93      11.87       0.93       0.76      19.54       0.93
       -41          2          6          1      26.58      10.17      19.39       4.21      14.51       4.21      24.26       4.21       9.75       4.21       0.73      19.40       4.21
       -41          2          7          1      29.87      11.36      20.82       3.05      15.57       3.05      28.90       3.05      13.33       3.05       0.74      20.82       3.05
       -41          2          8          1      23.49       9.01      15.09       0.56      11.28       0.56      19.32       0.56       8.03       0.56       0.65      15.10       0.56
       -41          2          9          1      29.48      11.46      24.44       1.07      18.24       1.07      27.90       1.07       9.66       1.07       0.78      24.44       1.07
       -40          0          1          1      36.05      16.40       5.77       3.14       4.50       3.14      21.94       3.14      17.44       3.14       0.37       5.77       3.14
       -40          0          2          1      25.54      14.07      13.27       3.14      10.45       3.14      22.44       3.14      11.99       3.14       0.64      13.28       3.14
       -40          0          3          1      29.59      17.87      31.68       3.14      24.99       3.14      29.12       3.14       4.12       3.14       0.91      31.69       3.14
       -40          0          4          1      11.23       8.27       1.49       3.14       1.18       3.14       0.12       3.14       1.06       0.00       0.06       1.49       3.14
       -40          0          5          1      25.03      13.66       5.47       0.00       4.32       6.28      10.67       6.28       6.35       6.28       0.30       5.47       6.28
       -40          0          6          1      16.54      11.75      15.13       3.14      11.96       3.14       7.04       3.14       4.93       0.00       0.57      15.13       3.14
       -40          0          7          1      19.10      11.84       1.63       3.14       1.29       3.14       1.80       3.14       0.50       3.14       0.08       1.63       3.14
       -40          0          8          1      29.99      14.76      17.71       0.00      14.01       0.00      34.06       0.00      20.05       0.00       0.80      17.72       0.00
       -40          0          9          1      26.15      13.37      44.94       3.14      35.48       3.14      16.39       3.14      19.09       0.00       0.99      44.94       3.14
       -40          0         10          1      28.50      13.94      16.16       0.00      12.75       0.00      31.57       0.00      18.81       0.00       0.78      16.17       0.00
       -40          0         11          1      18.96      10.95       3.78       0.00       2.97       6.28       4.80       6.28       1.83       6.28       0.20       3.78       6.28
       -40          0         12          1      13.87       9.80      28.37       3.14      22.10       3.14       1.23       3.14      20.86       0.00       0.84      28.38       3.14
       -40          0         13          1      27.42      16.74       4.28       0.00       3.29       6.28       7.86       6.28       4.57       6.28       0.20       4.28       6.28
       -40          0         15          1      14.90      10.77      13.46       0.00      10.15       6.28       5.08       6.28       5.07       3.14       0.51      13.45       6.28
       -40          0         16          1      17.88      11.46      11.24       3.14       8.42       3.14       9.41       3.14       0.99       3.14       0.50      11.24       3.14
       -40          1          1          1      20.51       9.68      15.42       5.75      12.01       5.75      11.85       5.75       0.16       2.61       0.58      15.42       5.75
       -40          1          2          1      16.68       7.23      14.59       6.02      11.47       6.02       8.39       6.02       3.08       2.88       0.60      14.59       6.02
       -40          1          3          1      15.46       7.25      10.10       2.11       7.95       2.11       5.24       2.11       2.71       5.25       0.43      10.09       2.11
       -40          1          4          1      17.81       8.41      11.13       1.80       8.78       1.80       7.63       1.80       1.15       4.94       0.46      11.12       1.80
       -40          1          5          1      16.13       7.54      19.45       1.57      15.37       1.57       5.99       1.57       9.38       4.71       0.66      19.46       1.57
       -40          1          6          1      32.32      10.30      20.61       2.02      16.29       2.02      35.07       2.02      18.79       2.02       0.79      20.61       2.02
       -40          1          7          1      29.63       9.42      32.03       2.84      25.32       2.84      26.69       2.84       1.36       2.84       0.88      32.04       2.84
       -40          1          8          1      26.29       9.24      19.38       0.15      15.30       0.15      24.47       0.15       9.17       0.15       0.76      19.37       0.15
       -40          1          9          1      36.36      11.90      36.67       3.56      28.94       3.56      35.61       3.56       6.66       3.56       0.89      36.67       3.56
       -40          1         10          1      20.55       8.22      35.19       5.79      27.73       5.79       7.67       5.79      20.05       2.65       0.86      35.18       5.79
       -40          1         11          1      18.17       7.96      29.03       6.14      22.77       6.14       6.59       6.14      16.19       3.00       0.81      29.03       6.14
       -40          1         12          1      30.72      10.48      15.55       3.67      12.09       3.67      30.62       3.67      18.54       3.67       0.70      15.56       3.67
       -40          1         13          1      19.65       9.47      13.02       0.29       9.98       0.29       9.68       0.29       0.31       3.43       0.50      13.01       0.29
       -40          1         14          1      36.01      13.77      26.77       0.70      20.32       0.70      36.37       0.70      16.05       0.70       0.79      26.77       0.70
       -40          1         15          1      28.52      11.21       5.56       4.89       4.20       4.89      12.05       4.89       7.85       4.89       0.28       5.57       4.89
       -40          1         16          1      22.87       9.86      31.82       4.10      23.80       4.10      13.97       4.10       9.84       0.96       0.83      31.82       4.10
       -40          2          1          1      20.20       8.62       7.61       0.18       5.89       0.18       8.78       0.18       2.89       0.18       0.36       7.61       0.18
       -40          2          2          1      21.38       8.29      19.59       6.09      15.29       6.09      16.13       6.09       0.84       6.09       0.73      19.60       6.09
       -40          2          3          1      16.04       7.77       7.38       6.05       5.79       6.04       4.59       6.04       1.21       2.90       0.32       7.37       6.04
       -40          2          4          1      32.45       9.47      23.43       6.02      18.47       6.02      36.45       6.02      17.99       6.02       0.85      23.43       6.02
       -40          2          5          1      19.57       8.58      12.14       1.16       9.57       1.16      10.91       1.16       1.34       1.16       0.52      12.13       1.16
       -40          2          6          1      20.62       8.87      11.51       5.54       9.08       5.54      11.92       5.54       2.84       5.54       0.51      11.51       5.54
       -40          2          7          1      23.19       9.37      25.17       2.40      19.85       2.40      16.84       2.40       3.01       5.54       0.79      25.16       2.40
       -40          2          8          0      15.20       7.28      27.93       0.28      22.02       0.28      22.02       0.28       0.00       0.00       0.00      27.93       0.28
       -40          2          9          1      16.07       7.50      14.74       1.18      11.62       1.18       6.79       1.18       4.83       4.32       0.57      14.75       1.18
       -40          2         10          1      22.71       9.00       7.97       3.39       6.26       3.39      12.46       3.39       6.20       3.39       0.41       7.97       3.39
       -40          2         11          1      23.94       8.46       3.92       4.64       3.05       4.64       8.38       4.64       5.33       4.64       0.24       3.92       4.64
       -40          2         12          1      15.42       7.37      24.54       5.17      18.92       5.17       3.53       5.17      15.39       2.03       0.73      24.54       5.17
       -40          2         13          1      22.32       8.85      13.10       0.88       9.98       0.88      15.52       0.88       5.55       0.88       0.57      13.10       0.88
       -40          2         14          1      17.99       8.69      26.40       3.74      19.97       3.74       6.91       3.74      13.06       0.60       0.75      26.39       3.74
       -40          2         15          1      26.09      10.42      22.32       3.81      16.78       3.81      22.54       3.81       5.77       3.81       0.75      22.32       3.81
       -40          2         16          1      23.49      10.36      32.47       5.21      24.22       5.21      14.53       5.21       9.69       2.07       0.82      32.47       5.21
       -40          3          1          1      22.94       8.68      15.39       1.90      11.75       1.90      18.03       1.90       6.29       1.90       0.65      15.39       1.90
       -40          3          2          1      31.35      12.82       9.10       3.31       7.02       3.31      18.81       3.31      11.80       3.31       0.41       9.10       3.31
       -40          3          3          0      23.43       8.95      24.68       1.81      19.18       1.81      19.18       1.81       0.00       0.00       0.00      24.68       1.81
       -40          3          4          0      25.68      10.05      32.23       5.02      25.18       5.02      25.18       5.02       0.00       0.00       0.00      32.23       5.02
       -40          3          5          1      25.26      10.36      27.73       0.06      21.74       0.06      19.16       0.06       2.58       3.20       0.81      27.73       0.06
       -40          3          6          1      41.77      12.14      60.83       6.25      47.77       6.25      30.96       6.25      16.81       3.11       0.94      60.82       6.25
