         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -40          0          1          1     110.22       8.57     132.86       3.14     121.47       3.14      69.73       3.14      51.74       0.00       0.87     138.10       3.14
       -40          0          2          0      72.90       8.54      78.25       3.14      73.25       3.14      73.25       3.14       0.00       0.00       0.00      86.25       3.14
       -40          0          3          0     267.87       4.66     212.38       3.14     196.18       3.14     196.18       3.14       0.00       0.00       0.00     226.57       3.14
       -40          0          4          1     240.27       4.56     221.29       3.14     200.95       3.14     279.52       3.14      78.57       3.14       1.00     226.08       3.14
       -40          0          5          1     113.12       7.48       3.93       0.00       2.17       3.14       3.37       3.14       1.19       3.14       0.02      12.59       3.14
       -40          0          6          1      95.39       8.16      90.94       0.00      80.16       6.28      42.05       6.28      38.11       3.14       0.64      85.93       6.28
       -40          0          7          1     144.40       5.99     168.85       3.14     148.20       3.14     132.42       3.14      15.78       0.00       0.97     157.82       3.14
       -40          0          8          1      81.21       9.64       5.16       0.00       9.14       0.00       2.65       0.00       6.50       3.14       0.07      17.95       0.00
       -40          0          9          1      68.96      11.22      60.20       3.14      40.89       3.14       4.13       0.00      45.02       0.00       0.27      22.77       3.14
       -40          0         10          1      53.03      12.70      16.84       0.00      18.48       0.00       8.57       3.14      27.04       3.14       0.09      26.07       0.00
       -40          0         11          1     200.93       4.77      79.23       3.14      72.97       3.14     283.24       3.14     210.27       3.14       0.89      83.80       3.14
       -40          1          1          1     158.73       2.02     103.63       5.51      93.34       5.54     162.29       5.54      68.95       5.54       0.81     103.88       5.59
       -40          1          2          1     127.02       2.82      91.45       3.60      83.95       3.60      98.15       3.60      14.20       3.60       0.72      96.04       3.59
       -40          1          3          1     211.76       2.33     140.03       4.37     127.42       4.40     254.44       4.40     127.02       4.40       0.90     144.03       4.44
       -40          1          4          1     192.27       4.48     147.56       4.47     133.03       4.43     211.36       4.43      78.33       4.43       0.90     148.36       4.37
       -40          1          5          1     206.02       6.30      71.33       0.89      66.90       0.89     257.84       0.89     190.94       0.89       0.79      78.99       0.90
       -40          1          6          1     193.54       4.92      27.35       0.59      26.62       0.52     149.16       0.52     122.54       0.52       0.45      33.36       0.42
       -40          1          7          1     156.40       8.84     168.37       4.87     148.49       4.89     127.22       4.89      21.27       1.74       0.88     159.60       4.92
       -40          1          8          1     110.73       3.22      59.26       1.48      55.86       1.59      58.86       1.59       3.00       1.59       0.52      67.57       1.73
       -40          1          9          1     144.39       7.25      55.58       1.20      55.57       1.20     120.32       1.20      64.74       1.20       0.61      71.10       1.21
       -40          1         10          1      87.12       2.87      53.65       3.53      50.90       3.57      17.70       3.57      33.20       0.43       0.39      61.09       3.64
       -40          1         11          1     214.25       2.54     163.10       5.08     153.05       5.08     239.62       5.08      86.57       5.08       0.92     180.23       5.09
       -40          2          1          1     143.12       3.73     112.32       0.69     108.61       0.73     124.28       0.73      15.67       0.73       0.81     133.96       0.80
       -40          2          2          1     159.34       2.83     167.96       5.52     153.44       5.52     129.92       5.52      23.53       2.38       0.89     174.24       5.53
       -40          2          3          1     201.60       5.00     107.62       6.08      92.65       6.06     250.12       6.06     157.48       6.06       0.85      95.58       6.02
       -40          2          4          1     174.78       4.26     128.73       5.99     119.20       5.98     184.19       5.98      64.99       5.98       0.87     138.13       5.96
       -40          2          5          0     182.26       6.24      55.06       1.68      50.28       1.67      50.28       1.67       0.00       0.00       0.00      57.06       1.66
       -40          2          6          1     201.69       5.49      76.65       1.57      77.16       1.54     251.26       1.54     174.10       1.54       0.81      99.90       1.51
       -40          2          7          0     227.49       3.48     150.31       1.08     137.87       1.08     137.87       1.08       0.00       0.00       0.00     157.48       1.08
       -40          2          8          1     109.69       4.72      33.67       2.49      31.88       2.62      38.79       2.62       6.91       2.62       0.32      39.09       2.80
       -40          2          9          1     190.59       2.74      95.63       3.21      88.73       3.15     227.09       3.15     138.36       3.15       0.83     103.56       3.07
       -40          2         10          1     113.39       2.02      79.75       4.62      73.40       4.66      67.10       4.66       6.30       1.51       0.62      84.39       4.71
       -40          3          1          1     110.95       2.53      69.20       1.41      61.81       1.49      60.50       1.49       1.32       4.63       0.55      68.71       1.61
       -40          3          2          1     130.14       2.44     111.05       0.76     105.76       0.74      98.11       0.74       7.64       3.89       0.78     127.27       0.72
       -40          3          3          1      90.18       3.97      49.69       3.77      46.96       3.86      21.79       3.86      25.17       0.71       0.38      56.64       3.98
       -40          3          4          1     168.34       2.02      76.66       0.88      65.23       0.91     177.36       0.91     112.13       0.91       0.72      66.20       0.96
       -40          3          5          1     144.85       6.68     125.23       1.74     110.20       1.74     126.40       1.74      16.20       1.74       0.82     118.11       1.73
       -40          3          6          1      63.00       3.60      32.25       3.60      33.69       3.53       8.22       0.39      41.91       0.39       0.20      45.51       3.46
       -40          3          7          1     149.63       6.61      94.64       2.90      85.17       2.88     142.22       2.88      57.05       2.88       0.76      94.66       2.85
       -40          3          8          1      39.20       7.60      93.49       1.51      86.21       1.48      62.16       4.62     148.38       4.62       0.31      99.32       1.44
       -40          3          9          1     148.93       4.17      39.39       4.08      34.05       3.97      95.48       3.97      61.43       3.97       0.43      36.41       3.80
       -40          4          1          1      58.51       4.11      47.73       5.57      44.50       5.56      16.41       2.42      60.91       2.42       0.24      51.95       5.55
       -40          4          2          1     131.18       2.21      59.52       1.69      53.62       1.69      92.10       1.69      38.48       1.69       0.56      59.68       1.70
       -40          4          3          1     141.18       3.68     116.44       5.52     105.24       5.50     120.01       5.50      14.77       5.50       0.80     117.74       5.47
       -40          4          4          1     177.50       2.44     142.52       3.35     132.63       3.33     180.07       3.33      47.44       3.33       0.88     154.59       3.30
