         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -47          0         17          1      75.01      47.32     117.54       0.00     105.70       0.00      13.97       0.00      91.73       3.14       0.80     120.67       0.00
       -47          0         18          0     294.06      19.06     255.43       0.00     223.24       6.28     223.24       6.28       0.00       0.00       0.00     252.67       6.28
       -47          0         19          1      73.23      45.72     119.24       0.00     110.13       0.00       9.16       0.00     100.97       3.14       0.81     126.61       0.00
       -47          0         20          1      45.62      31.59      99.98       0.00      87.70       6.28      34.44       3.14     122.14       3.14       0.58      99.37       6.28
       -47          0         21          1      48.55      34.38      77.61       0.00      79.85       0.00      25.97       3.14     105.83       3.14       0.55      93.90       0.00
       -47          0         22          1     122.30      40.40     108.38       0.00      95.95       0.00     134.43       0.00      38.48       0.00       0.94     109.32       0.00
       -47          1         16          1      85.90      32.30       9.47       2.97       9.50       3.37       9.92       3.37       0.42       3.37       0.11      11.13       3.41
       -47          1         17          1     168.15      32.30     195.25       1.46     171.06       1.43     143.65       1.43      27.41       4.57       0.94     194.37       1.42
       -47          1         18          1     148.82      23.68     171.33       0.04     154.16       0.06     122.80       0.06      31.36       3.20       0.93     176.02       0.06
       -47          1         19          1     181.52      26.31     192.54       5.49     172.98       5.52     171.05       5.52       1.93       2.38       0.95     197.41       5.52
       -47          1         20          1     216.82      15.93     220.11       5.66     191.04       5.66     227.87       5.66      36.83       5.66       0.97     216.19       5.66
       -47          1         21          1      66.77      30.35     122.03       0.74     109.94       0.78      14.00       3.93     123.94       3.93       0.72     125.64       0.79
       -47          1         22          1     131.67      23.77     100.15       0.61      84.39       0.59     138.15       0.59      53.76       0.59       0.85      95.53       0.59
       -47          2         18          1     101.00      28.64      94.01       1.93      79.05       2.02      72.57       2.02       6.48       5.17       0.75      89.56       2.04
       -47          2         19          1     185.92      18.12     132.02       0.93     117.49       0.91     229.00       0.91     111.51       0.91       0.93     134.07       0.91
       -47          2         20          1     187.83      20.64     116.72       0.45      97.87       0.39     245.94       0.39     148.07       0.39       0.92     110.79       0.38
       -46          0          9          1      65.84      44.99      21.65       0.00       5.41       6.28       1.27       6.28       4.14       3.14       0.05       1.67       6.28
       -46          0         10          1      48.03      32.30      64.42       3.14      59.46       3.14      16.14       0.00      75.60       0.00       0.45      68.62       3.14
       -46          0         11          1     183.63      53.86     200.26       3.14     177.31       3.14     189.82       3.14      12.50       3.14       1.00     196.82       3.14
       -46          0         12          1     135.00      58.86     233.92       3.14     209.33       3.14      60.19       3.14     149.14       0.00       1.00     232.09       3.14
       -46          0         13          1      90.81      47.46     146.93       3.14     129.75       3.14      41.31       3.14      88.45       0.00       0.94     134.79       3.14
       -46          0         14          1      74.92      47.69      63.35       3.14      55.33       3.14      27.59       3.14      27.74       0.00       0.55      49.42       3.14
       -46          0         15          1     179.36      34.12     137.67       3.14     125.09       3.14     233.44       3.14     108.35       3.14       1.00     139.64       3.14
       -46          0         16          1     234.04      33.05     214.06       0.00     194.74       0.00     273.33       0.00      78.58       0.00       1.00     215.38       0.00
       -46          0         17          1      63.52      39.70      34.77       0.00      31.66       6.28      10.72       6.28      20.94       3.14       0.33      31.71       6.28
       -46          0         18          1      82.10      48.78     107.18       3.14      97.35       3.14      39.62       3.14      57.72       0.00       0.83      93.81       3.14
       -46          0         19          1     148.80      37.20     128.76       3.14     117.20       3.14     179.15       3.14      61.95       3.14       1.00     136.11       3.14
       -46          0         20          1      56.07      38.23     108.49       0.00      98.81       0.00      14.76       3.14     113.57       3.14       0.75     115.25       0.00
       -46          0         21          1      52.42      34.33     107.19       0.00      97.64       0.00      20.34       3.14     117.97       3.14       0.74     111.48       0.00
       -46          0         22          1     126.90      49.37      30.92       0.00      27.45       6.28      93.35       6.28      65.89       6.28       0.48      21.56       6.28
       -46          0         23          1      61.01      36.82      46.54       3.14      41.64       3.14       9.29       3.14      32.35       0.00       0.42      42.58       3.14
       -46          0         24          1     300.56      19.94     236.67       3.14     213.03       3.14     388.09       3.14     175.06       3.14       1.00     234.14       3.14
       -46          0         25          1     164.64      37.35      65.47       0.00      58.86       0.00     246.15       0.00     187.28       0.00       0.93      65.62       0.00
       -46          0         26          1     112.13      36.36      94.72       0.00      86.04       0.00     121.04       0.00      35.00       0.00       0.92      98.18       0.00
       -46          0         27          1     123.07      43.85     150.77       0.00     133.72       6.28     108.78       6.28      24.95       3.14       0.99     150.25       6.28
       -46          0         28          1      57.26      33.93      85.06       0.00      79.01       0.00       6.86       3.14      85.87       3.14       0.63      91.08       0.00
       -46          1          9          1     129.24      36.03     139.53       6.17     118.40       6.20     105.02       6.20      13.37       3.06       0.86     133.21       6.21
       -46          1         10          1      65.46      27.93      52.46       0.81      48.18       0.80       9.46       0.80      38.72       3.94       0.44      55.42       0.79
       -46          1         11          1     113.84      41.23     107.52       3.32     100.08       3.31      80.84       3.31      19.24       0.17       0.79     116.98       3.30
       -46          1         12          1     190.25      25.86     236.19       4.07     212.42       4.06     153.83       4.06      58.59       0.92       0.96     238.30       4.04
       -46          1         13          1     105.46      31.34      50.61       3.80      45.78       3.83      79.73       3.83      33.96       3.83       0.60      51.65       3.91
       -46          1         14          1      88.85      34.68      88.16       1.35      80.56       1.34      46.32       1.34      34.24       4.48       0.71      93.61       1.30
       -46          1         15          1     109.28      27.79      93.53       2.13      83.97       2.13      94.98       2.13      11.02       2.13       0.82      85.45       2.18
       -46          1         16          1     316.58      17.44     287.85       0.95     261.72       0.95     362.04       0.95     100.31       0.95       0.99     291.07       0.93
       -46          1         17          1     163.91      22.18     154.63       1.16     140.73       1.16     167.93       1.16      27.20       1.16       0.94     155.08       1.19
       -46          1         18          1     167.34      30.25     177.39       4.63     161.56       4.63     153.80       4.63       7.77       1.49       0.94     177.85       4.64
       -46          1         19          1      68.21      28.55     103.99       3.37      94.73       3.37       4.78       3.37      89.94       0.23       0.73     106.41       3.33
       -46          1         20          1     114.30      35.29      86.05       1.56      78.43       1.56     100.34       1.56      21.90       1.56       0.78      93.30       1.56
       -46          1         21          1     161.25      18.75     129.28       2.51     116.85       2.51     183.58       2.51      66.72       2.51       0.93     113.99       2.47
       -46          1         22          1     119.33      33.32      70.57       3.53      64.09       3.54     114.07       3.54      49.97       3.54       0.75      71.71       3.62
       -46          1         23          1     167.45      17.45     128.14       3.79     115.17       3.78     197.25       3.78      82.08       3.78       0.93     123.38       3.72
       -46          1         24          1      96.39      33.26     161.12       4.36     147.06       4.35      21.11       4.35     125.95       1.21       0.87     169.40       4.34
       -46          1         25          1     186.06      16.70     134.88       5.81     119.85       5.81     230.18       5.81     110.33       5.81       0.94     131.03       5.80
       -46          1         26          1     276.05      10.69     259.31       2.40     231.55       2.40     309.83       2.40      78.28       2.40       0.98     259.32       2.39
       -46          1         27          1      84.49      31.26      63.60       2.53      52.91       2.58      39.72       2.58      13.19       5.72       0.55      57.06       2.62
       -46          1         28          1      44.75      21.00      66.11       0.06      60.99       0.12      23.24       3.26      84.23       3.26       0.42      70.15       0.14
       -46          2          9          1     152.50      28.92      74.33       5.97      69.64       6.03     180.47       6.03     110.84       6.03       0.82      80.06       6.04
       -46          2         10          1      55.03      25.86      64.34       0.30      57.84       0.33       8.10       3.48      65.93       3.48       0.45      65.91       0.35
       -46          2         11          1     103.07      32.45       5.69       4.46       4.94       4.05      10.24       4.05       5.30       4.05       0.07       6.06       3.76
       -46          2         12          1     223.97      16.28     229.55       4.73     199.92       4.73     234.83       4.73      34.91       4.73       0.97     216.44       4.74
       -46          2         13          1     121.56      28.82      89.52       5.53      83.09       5.54     117.88       5.54      34.78       5.54       0.83      98.46       5.56
       -46          2         14          1      69.79      32.40      45.75       0.26      42.00       0.24      14.78       0.24      27.22       3.38       0.41      49.26       0.19
       -46          2         15          1     112.26      34.88      95.24       4.29      86.64       4.30      92.52       4.30       5.88       4.30       0.80      98.75       4.34
       -46          2         16          1     235.40      22.13     164.68       1.51     149.03       1.50     303.52       1.50     154.50       1.50       0.96     163.53       1.46
