         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -27          0          3          1      14.99       8.39      33.14       0.00      28.24       0.00       9.15       3.14      37.39       3.14       0.64      33.49       0.00
       -27          0          4          1      25.52       8.60      56.45       3.14      48.41       3.14       1.11       3.14      47.30       0.00       0.97      56.22       3.14
       -27          0          5          1      19.56      12.42      39.40       3.14      34.03       3.14       4.85       0.00      38.89       0.00       0.75      39.07       3.14
       -27          0          6          0      43.99       5.33      63.70       0.00      55.42       6.28      55.42       6.28       0.00       0.00       0.00      63.61       6.28
       -27          0          7          1      31.52       7.40       3.74       3.14       3.28       3.14       7.04       3.14       3.76       3.14       0.16       3.79       3.14
       -27          0          8          1      36.28      16.50      34.47       3.14      30.29       3.14      31.93       3.14       1.64       3.14       0.86      34.35       3.14
       -27          0          9          1      78.65       5.66      61.01       0.00      53.82       6.28     103.47       6.28      49.64       6.28       1.00      60.99       6.28
       -27          0         10          1      14.84       8.89      10.47       0.00       9.30       0.00       3.36       3.14      12.66       3.14       0.20      11.01       0.00
       -27          0         11          1      41.03       5.53      14.09       3.14      12.49       3.14      42.19       3.14      29.70       3.14       0.67      14.15       3.14
       -27          0         12          1       7.93       5.67      15.12       3.14      13.37       3.14      10.78       0.00      24.15       0.00       0.16      14.54       3.14
       -27          0         14          1       7.43       5.39       8.33       0.00       7.41       0.00       6.13       3.14      13.54       3.14       0.09       8.77       0.00
       -27          0         15          1      38.92       7.02      60.00       0.00      53.08       0.00      24.50       0.00      28.59       3.14       1.00      60.27       0.00
       -27          0         16          1      19.49       8.87      34.05       0.00      30.10       0.00       2.68       3.14      32.78       3.14       0.70      35.04       0.00
       -27          0         17          1       8.67       6.06       9.75       3.14       8.57       3.14       6.50       0.00      15.07       0.00       0.12       9.87       3.14
       -27          0         18          1      21.91       8.78      24.03       3.14      21.01       3.14       5.82       3.14      15.19       0.00       0.61      24.05       3.14
       -27          0         19          1      18.50       8.75       6.31       0.00       5.50       0.00       0.43       0.00       5.07       3.14       0.16       6.47       0.00
       -27          0         20          1      69.82       5.27      51.29       3.14      44.32       3.14      95.31       3.14      50.99       3.14       1.00      51.49       3.14
       -27          0         21          1      18.03       8.57      35.47       3.14      30.40       3.14       3.97       0.00      34.37       0.00       0.73      35.43       3.14
       -27          0         22          1      81.09       7.21     108.81       0.00      92.44       6.28      69.75       6.28      22.70       3.14       1.00     108.49       6.28
       -27          1          3          1      60.85       4.27      52.66       1.78      44.74       1.78      70.97       1.78      26.24       1.78       0.95      52.98       1.78
       -27          1          4          1      17.75       6.42      26.90       3.45      23.02       3.45       2.95       0.31      25.97       0.31       0.57      26.79       3.45
       -27          1          5          1      82.09       4.06      61.77       4.95      53.30       4.95     105.51       4.95      52.21       4.95       0.97      61.93       4.96
       -27          1          6          0      36.20       4.12      42.85       5.18      37.21       5.18      37.21       5.18       0.00       0.00       0.00      43.01       5.17
       -27          1          7          1      62.40       3.54      45.69       2.17      39.88       2.17      77.28       2.17      37.40       2.17       0.94      45.55       2.18
       -27          1          8          1      17.01       6.12      25.39       1.68      22.27       1.68       5.24       4.82      27.51       4.82       0.50      25.53       1.68
       -27          1          9          1      71.85       3.85      59.35       5.77      52.24       5.77      85.42       5.77      33.18       5.77       0.96      59.34       5.77
       -27          1         10          1      12.49       5.50       4.21       5.71       3.71       5.70       1.95       2.55       5.66       2.55       0.07       4.16       5.57
       -27          1         11          1      70.77       3.83      46.10       1.42      40.77       1.42      92.82       1.42      52.05       1.42       0.94      46.13       1.43
       -27          1         12          1      34.98       4.10      21.40       2.70      18.92       2.70      30.77       2.70      11.85       2.70       0.71      21.09       2.71
       -27          1         13          1      22.67       7.36      33.37       4.39      29.54       4.39       1.18       4.39      28.35       1.25       0.68      33.41       4.38
       -27          1         14          1      61.20       5.45      54.17       5.40      47.92       5.40      67.39       5.40      19.47       5.40       0.94      54.53       5.41
       -27          1         15          1      36.22       3.99      36.21       4.91      31.95       4.91      29.67       4.91       2.28       1.77       0.85      36.15       4.91
       -27          1         16          1      40.49       3.71      30.38       1.85      26.72       1.85      41.49       1.85      14.77       1.85       0.84      30.19       1.85
       -27          1         17          0      13.45       5.65      24.90       3.07      21.83       3.07      21.83       3.07       0.00       0.00       0.00      24.96       3.06
       -27          1         18          1       9.99       4.73      34.45       3.84      30.07       3.84      21.22       0.69      51.29       0.69       0.44      34.66       3.84
       -27          1         19          1      82.10       4.05      90.15       0.93      78.20       0.93      82.25       0.93       4.05       0.93       0.98      90.09       0.93
       -27          1         20          1      82.62       4.03      88.90       1.20      76.63       1.20      84.91       1.20       8.28       1.20       0.98      89.11       1.20
       -27          1         21          1      19.88       6.14      63.05       3.72      53.93       3.72      20.11       0.57      74.04       0.57       0.85      63.13       3.71
       -27          1         22          1      77.30       4.70      64.80       5.07      54.95       5.07      94.78       5.07      39.83       5.07       0.97      64.84       5.06
       -27          2          4          1      33.74       4.58      24.90       3.28      21.19       3.28      31.70       3.28      10.51       3.28       0.78      25.07       3.28
       -27          2          5          1      97.81       4.72      80.94       5.13      69.35       5.13     122.22       5.13      52.86       5.13       0.98      81.18       5.13
       -27          2          6          1      62.36       3.59      65.08       4.39      56.09       4.39      63.58       4.39       7.48       4.39       0.96      64.85       4.39
       -27          2          7          1      75.73       4.10      77.56       1.70      67.24       1.70      79.85       1.70      12.61       1.70       0.97      77.45       1.70
       -27          2          8          1      39.29       3.87      41.27       0.69      35.95       0.69      33.89       0.69       2.06       3.83       0.89      41.29       0.69
       -27          2          9          1      85.84       4.17      87.66       5.12      76.62       5.12      91.07       5.12      14.45       5.12       0.98      87.44       5.12
       -27          2         10          1      32.92       4.32      16.40       3.58      14.37       3.58      25.55       3.58      11.18       3.58       0.61      16.32       3.57
       -27          2         11          1      74.19       3.79      82.22       1.26      72.24       1.26      71.85       1.26       0.39       4.41       0.97      82.55       1.27
       -27          2         12          1      41.58       3.97      39.21       5.95      34.45       5.95      39.12       5.95       4.67       5.95       0.88      38.93       5.95
       -27          2         13          1      64.66       5.15      67.14       5.24      59.02       5.24      64.79       5.24       5.78       5.24       0.96      67.11       5.25
       -27          2         14          1      39.90       5.26      12.60       4.41      11.05       4.41      34.20       4.41      23.14       4.41       0.57      12.46       4.41
       -27          2         15          1      71.74       3.69      72.12       3.36      63.22       3.36      75.40       3.36      12.18       3.36       0.97      72.32       3.36
       -27          2         16          1      56.95       3.41      66.56       2.16      58.18       2.16      50.52       2.16       7.66       5.30       0.95      66.74       2.15
       -27          2         17          1      19.05       5.96      40.35       2.09      35.14       2.09       7.76       5.23      42.90       5.23       0.72      40.51       2.09
       -27          2         18          1      27.02       4.97      31.03       4.83      26.91       4.83      14.16       4.83      12.74       1.69       0.76      31.26       4.82
       -27          2         19          1     108.50       5.21      91.68       6.14      79.00       6.14     134.28       6.14      55.29       6.14       0.98      91.76       6.14
       -27          2         20          1      72.66       4.64      78.33       0.36      67.04       0.36      74.11       0.36       7.07       0.36       0.97      78.34       0.36
       -27          2         21          0      71.39       4.41      69.55       2.79      59.05       2.79      59.05       2.79       0.00       0.00       0.00      69.40       2.79
       -27          3          5          1      49.19       3.90      30.81       4.52      26.05       4.52      61.90       4.52      35.85       4.52       0.89      30.48       4.52
       -27          3          6          1      41.13       5.18      26.17       5.07      22.30       5.08      46.10       5.08      23.80       5.08       0.83      26.05       5.08
       -27          3          7          1      48.00       3.56      56.69       0.91      48.56       0.91      41.71       0.91       6.84       4.05       0.94      56.29       0.91
       -27          3          8          1      18.24       6.18      45.75       4.63      39.37       4.63      11.94       1.49      51.32       1.49       0.75      45.46       4.63
       -27          3          9          1      73.95       3.80      72.74       4.49      62.84       4.49      80.50       4.49      17.66       4.49       0.97      72.34       4.49
       -27          3         10          1      16.24       6.09      24.09       0.50      20.88       0.50       5.29       3.64      26.17       3.64       0.48      24.05       0.50
       -27          3         11          0      32.09       4.82      40.07       1.17      34.82       1.17      34.82       1.17       0.00       0.00       0.00      40.27       1.17
       -27          3         12          1      27.65       7.19      46.32       4.80      40.25       4.80       5.95       4.80      34.30       1.65       0.84      46.18       4.79
