         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -45          0         15      73.25      41.95      23.53       0.00      15.65       6.28      23.58       6.28       7.93       6.28       0.27      23.25       6.28
       -45          1         17      92.99      37.87      47.55       4.01      31.23       4.01      58.29       4.01      27.05       4.01       0.48      47.82       4.01
       -45          1         18      92.36      32.44      76.78       1.80      50.72       1.80      80.40       1.80      29.68       1.80       0.71      76.64       1.80
       -44          0          8      22.79      16.39      39.21       3.14      27.07       3.14      16.04       0.00      43.11       0.00       0.24      36.73       3.14
       -44          0          9      62.37      32.12      57.97       3.14      37.94       3.14      40.66       3.14       2.72       3.14       0.63      56.55       3.14
       -44          0         12     111.73      69.62     181.47       3.14     127.68       3.14      87.59       3.14      40.08       0.00       0.96     180.89       3.14
       -44          0         13      51.63      26.58       6.87       0.00       3.42       6.28       2.57       6.28       0.85       3.14       0.06       5.23       6.28
       -44          0         14      49.12      25.72      49.91       0.00      41.77       0.00      17.17       0.00      24.61       3.14       0.60      52.53       0.00
       -44          0         15      24.93      16.53      13.32       3.14      14.96       3.14       7.71       0.00      22.68       0.00       0.15      14.48       3.14
       -44          0         16      62.22      31.81      21.88       0.00       5.76       6.28       7.82       6.28       2.05       6.28       0.11      20.48       6.28
       -44          0         21     111.91      64.80      93.97       0.00      63.08       6.28     114.50       6.28      51.42       6.28       0.79      93.79       6.28
       -44          0         22      65.21      27.31     136.44       0.00     101.30       6.28      25.75       6.28      75.55       3.14       0.97     136.18       6.28
       -44          0         23      29.24      17.48       8.68       0.00       6.93       6.28       2.32       3.14       9.24       3.14       0.08       8.09       6.28
       -44          0         24      54.23      29.03      17.97       3.14      12.52       3.14      11.40       3.14       1.12       0.00       0.22      20.90       3.14
       -44          0         25      61.28      31.55      42.00       0.00      28.25       0.00      32.43       0.00       4.17       0.00       0.50      42.89       0.00
       -44          0         26      23.71      16.12      41.93       0.00      35.65       0.00      20.11       3.14      55.76       3.14       0.33      44.68       0.00
       -44          0         27      97.96      59.29      53.38       3.14      20.66       3.14      46.12       3.14      25.46       3.14       0.34      52.65       3.14
       -44          1          7      34.02      14.03      42.65       0.67      22.30       0.53       3.03       3.67      25.32       3.67       0.28      42.52       0.66
       -44          1          8      68.25      20.39     115.41       3.30      80.39       3.30      34.91       3.30      45.48       0.16       0.84     114.54       3.31
       -44          1          9      65.13      17.26      34.78       1.13      22.98       1.13      38.86       1.13      15.88       1.13       0.47      35.82       1.13
       -44          1         10     110.91      36.49      93.50       4.80      68.25       4.80     113.10       4.80      44.86       4.80       0.82      93.04       4.81
       -44          1         14      43.73      17.60      53.11       3.40      34.06       3.46       5.46       3.46      28.60       0.32       0.45      52.71       3.42
       -44          1         15     115.26      47.71     134.87       4.26      95.85       4.23      94.47       4.23       1.38       1.09       0.83     136.50       4.26
       -44          1         16      89.75      26.60      53.55       4.64      39.93       4.68      83.56       4.68      43.62       4.68       0.69      54.41       4.64
       -44          1         17     104.19      31.99     107.67       4.09      77.60       4.13     100.11       4.13      22.50       4.13       0.85     108.81       4.09
       -44          1         18      71.80      21.63      17.68       6.15      13.72       5.64      28.31       5.64      14.59       5.64       0.29      17.79       6.07
       -44          1         19      56.83      20.88      58.85       0.49      42.35       0.40      25.89       0.40      16.46       3.54       0.60      59.92       0.47
       -44          1         20     102.47      38.51     104.02       2.95      68.75       2.96      91.36       2.96      22.60       2.96       0.78     104.89       2.96
       -44          1         21     104.28      39.41      77.23       1.09      53.49       1.09      93.85       1.09      40.36       1.09       0.71      76.26       1.08
       -44          1         22     113.09      44.74      94.81       5.01      72.40       5.01     103.04       5.01      30.63       5.01       0.78      97.73       5.01
       -44          1         26     110.45      34.55      78.22       2.11      51.08       2.09     116.76       2.09      65.69       2.09       0.76      78.65       2.11
       -44          1         27      41.02      14.83      34.53       2.65      20.03       2.48       4.27       2.48      15.76       5.62       0.30      34.65       2.64
       -44          1         28     123.36      47.88     141.83       2.05      91.87       2.05     112.16       2.05      20.28       2.05       0.83     141.99       2.05
       -44          2          6      88.31      36.38      80.06       2.38      50.70       2.38      65.79       2.38      15.08       2.38       0.66      79.82       2.37
       -44          2          8      59.17      17.86      15.42       2.57      13.58       2.54      18.47       2.54       4.90       2.54       0.27      16.33       2.56
       -44          2          9     106.98      45.65     105.32       3.66      71.54       3.66      89.74       3.66      18.20       3.66       0.75     104.76       3.65
       -44          2         10      76.68      23.11     105.39       3.90      70.24       3.90      57.32       3.90      12.92       0.76       0.83     106.47       3.89
       -44          2         11     101.48      31.81      95.00       5.54      72.15       5.54      97.95       5.54      25.80       5.54       0.84      95.16       5.55
       -44          2         13     109.81      35.00      73.98       3.05      53.65       3.05     113.77       3.05      60.13       3.05       0.76      73.76       3.06
       -44          2         14     127.45      44.95     148.81       1.99     100.71       1.99     119.68       1.99      18.98       1.99       0.86     147.13       2.00
       -44          2         15      81.28      29.14     136.23       4.91      89.45       4.90      48.13       4.90      41.33       1.76       0.85     137.31       4.90
       -44          2         18      41.80      16.78      36.11       5.25      22.66       5.19       3.35       5.19      19.32       2.05       0.31      35.21       5.22
       -44          2         19      36.17      13.89      62.80       5.47      41.37       5.47       6.65       2.32      48.03       2.32       0.48      62.99       5.47
       -44          2         20      45.31      14.91      43.76       6.00      30.64       6.00       9.95       6.00      20.69       2.86       0.45      44.40       6.03
       -44          2         21      99.83      30.20      86.39       2.76      65.33       2.76      98.71       2.76      33.38       2.76       0.82      86.86       2.77
       -44          2         22      88.87      26.58     113.57       0.57      90.71       0.57      65.17       0.57      25.55       3.71       0.88     114.10       0.58
       -44          2         23      73.79      26.42      90.09       3.23      64.22       3.23      50.77       3.23      13.44       0.09       0.78      89.14       3.23
       -44          3          8      87.80      35.98     129.92       0.45      62.65       0.65      67.92       0.65       5.27       0.65       0.74     129.51       0.46
       -44          3          9     110.54      52.75     174.46       2.75     111.41       2.75      70.15       2.75      41.25       5.89       0.82     173.51       2.75
       -44          3         10     105.08      43.60     109.26       5.31      74.15       5.31      88.66       5.31      14.51       5.31       0.77     108.71       5.31
       -44          3         11      58.03      18.10      35.39       5.64      23.13       5.64      26.81       5.64       3.69       5.64       0.43      35.43       5.65
       -44          3         12      39.64      14.29      29.21       0.15      21.37       0.15       3.02       0.15      18.35       3.29       0.31      29.37       0.14
       -44          3         13      51.50      17.06      84.62       0.86      67.26       0.86      10.87       0.86      56.38       4.00       0.76      84.03       0.85
       -44          3         14      56.46      20.23      41.66       5.05      32.61       5.05      24.86       5.05       7.75       1.91       0.51      41.71       5.08
       -44          3         15      69.51      24.83      38.53       4.04      28.88       4.04      39.62       4.04      10.74       4.04       0.49      38.60       4.05
       -44          3         16     105.10      40.92      83.25       2.11      60.85       2.11      93.93       2.11      33.08       2.11       0.74      84.23       2.12
       -44          3         17     111.01      44.51      75.50       3.35      54.92       3.35      97.92       3.35      43.01       3.35       0.69      76.78       3.34
       -44          3         18      50.03      16.30      21.63       0.84      15.98       0.84      11.17       0.84       4.80       3.98       0.27      22.68       0.86
       -44          3         19      69.55      24.43      28.05       3.11      21.46       3.11      33.25       3.11      11.79       3.11       0.39      27.79       3.08
       -44          3         20     108.57      42.51      40.55       3.00      32.69       3.00      79.04       3.00      46.35       3.00       0.51      39.67       3.02
       -44          3         21     123.08      54.56      71.53       0.13      54.63       0.13     100.30       0.13      45.67       0.13       0.63      71.17       0.12
       -44          3         22      90.38      32.92      83.61       1.12      57.92       1.12      78.45       1.12      20.52       1.12       0.75      82.45       1.12
       -44          3         23     106.36      41.47     102.18       0.43      67.96       0.43      96.40       0.43      28.43       0.43       0.77     102.18       0.43
       -44          3         24     101.64      31.22      87.56       3.60      60.82       3.60     103.10       3.60      42.29       3.60       0.81      88.43       3.59
