         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -37          0         17          1      17.21       4.09      28.39       3.14      24.93       3.14       8.83       3.14      16.09       0.00       0.98      28.36       3.14
       -37          0         21          1       0.65       0.65       0.69       0.00       0.60       6.28       0.60       3.14       1.20       3.14       0.00       0.66       6.28
       -37          1         14          1      21.74       3.01      19.77       1.48      17.36       1.48      20.88       1.48       3.52       1.48       0.88      19.80       1.48
       -37          1         15          1      20.02       2.80      15.38       0.41      13.50       0.41      19.23       0.41       5.73       0.41       0.82      15.37       0.41
       -37          1         18          1      21.31       3.23      12.64       5.07      11.10       5.06      21.40       5.06      10.30       5.06       0.76      12.62       5.06
       -37          1         19          1      20.01       3.23      15.23       2.28      13.37       2.28      18.43       2.28       5.06       2.28       0.79      15.22       2.28
       -37          1         20          1      29.05       2.80      32.60       0.03      28.62       0.03      26.17       0.03       2.45       3.17       0.94      32.63       0.03
       -37          1         22          1      15.93       4.73      11.16       0.20       9.80       0.20       9.46       0.20       0.34       3.34       0.60      11.19       0.20
       -37          1         23          1      19.37       3.23      23.59       5.72      20.71       5.72      13.58       5.72       7.12       2.58       0.89      23.55       5.72
       -37          2         15          1      21.33       3.45      15.16       0.45      13.31       0.45      21.69       0.45       8.38       0.45       0.82      15.25       0.45
       -37          2         18          1      31.02       1.94      22.82       5.05      20.04       5.05      37.44       5.05      17.40       5.05       0.93      22.82       5.05
       -37          2         19          1      31.88       1.51      26.18       5.91      22.99       5.91      36.89       5.91      13.90       5.91       0.94      26.18       5.91
       -37          2         20          1      23.91       2.80      24.50       0.77      21.51       0.77      21.85       0.77       0.33       0.77       0.91      24.51       0.76
       -37          2         22          1      17.02       4.31      22.00       4.35      19.32       4.35       9.12       4.35      10.20       1.21       0.84      21.96       4.35
       -37          2         23          1      23.26       2.80      20.24       4.99      17.77       4.99      23.82       4.99       6.05       4.99       0.89      20.20       4.99
       -37          3         15          1      21.14       3.02      22.56       2.38      19.81       2.38      17.86       2.38       1.95       5.52       0.89      22.56       2.38
       -37          3         16          1      13.81       3.24      19.32       1.02      16.96       1.02       4.47       1.02      12.49       4.16       0.78      19.38       1.02
       -37          3         20          1       3.67       3.67      18.05       0.93      15.85       0.93      13.70       4.07      29.55       4.07       0.29      18.02       0.93
       -37          3         21          1      14.88       3.02      17.77       1.50      15.61       1.50       7.55       1.50       8.05       4.64       0.78      17.75       1.50
       -37          4         19          1      13.62       5.84      10.47       1.68       9.19       1.68       3.90       1.68       5.30       4.82       0.48      10.54       1.69
       -37          4         20          1      26.58       2.59      32.03       0.49      28.12       0.49      21.91       0.49       6.21       3.63       0.94      32.00       0.49
       -37          4         21          1      12.32       7.35      15.40       5.50      13.52       5.50       0.35       2.35      13.87       2.35       0.53      15.40       5.50
       -37          5         18          1      27.09       2.38      32.58       6.06      28.61       6.06      22.60       6.06       6.00       2.92       0.95      32.65       6.06
       -36          0          9          1      15.40       5.36       7.03       0.00       6.17       6.28       8.03       6.28       1.86       6.28       0.46       6.96       6.28
       -36          0         10          0      40.40       2.68      30.17       3.14      26.51       3.14      26.51       3.14       0.00       0.00       0.00      30.22       3.14
       -36          0         11          1       5.58       5.58      13.48       3.14      11.81       3.14       8.62       0.00      20.43       0.00       0.29      13.43       3.14
       -36          0         12          1      24.32       2.68      31.77       0.00      27.95       0.00      20.55       0.00       7.41       3.14       1.00      31.83       0.00
       -36          0         13          1      33.69       2.45      35.04       3.14      30.84       3.14      36.54       3.14       5.70       3.14       1.00      35.06       3.14
       -36          0         18          0      32.12       2.23      58.54       3.14      51.99       3.14      51.99       3.14       0.00       0.00       0.00      58.65       3.14
       -36          0         19          1      33.02       2.45      16.60       3.14      14.74       3.14      49.66       3.14      34.92       3.14       0.98      16.54       3.14
