                    h          k          l         FP      SIGFP      FCalc    PHICalc          
         1         -9          2          1     258.68     161.26     418.22      -1.66
         2         -9          3          1     101.44     380.25     120.16      -0.34
         3         -9          3          2     304.50     127.04     327.63       1.69
         4         -9          3          3     193.02     206.47     231.07       1.96
         5         -9          4          1     453.39      95.38     596.06      -2.48
         6         -9          4          2     378.37     131.05     477.15       2.78
         7         -9          4          3     218.54     182.23     230.45      -3.00
         8         -9          4          4     372.06     129.18     454.84       1.34
         9         -9          5          1     430.45      98.71     509.00      -1.92
        10         -9          5          2     378.28     131.02     425.49       1.09
        11         -9          5          3     724.71      70.59     595.16      -1.74
        12         -9          5          4     405.61     101.57     282.28       2.60
        13         -9          5          5     358.73     124.51     313.59      -2.27
        14         -9          6          2     178.00     252.56     151.70       0.21
        15         -9          6          3     303.78     135.09     404.47      -1.89
        16         -9          6          4     248.14     165.42     369.45      -1.47
        17         -9          6          5     857.87      63.25    1051.48      -1.84
        18         -9          6          6     426.82      97.62     437.32      -1.59
        19         -9          6          7     402.15     139.44     453.17      -2.38
        20         -9          7          8     535.65      82.87     511.39      -1.15
        21         -8          0          1     217.71      73.69     213.12       0.00
        22         -8          0          2     164.87     151.46     120.75       3.14
        23         -8          1          1     379.80      38.85     552.79       1.21
        24         -8          1          2     415.51      60.99     407.48      -0.95
        25         -8          2          1     616.21      26.79     564.07      -0.12
        26         -8          2          2     291.50      52.94     290.59      -0.88
        27         -8          2          3     363.39      87.16     506.91      -0.70
        28         -8          2          4     316.61     110.01     227.61      -0.91
        29         -8          3          1     280.61      52.24     253.64      -1.71
        30         -8          3          2     261.98      74.37     306.54       2.39
        31         -8          3          3     333.17     115.30     309.48      -1.76
        32         -8          3          4     201.88     151.58      99.55       0.23
        33         -8          3          5     267.75     124.14     340.56      -2.55
        34         -8          3          6     327.64     113.46     422.27      -2.79
        35         -8          4          1     210.92      66.29     453.91       0.56
        36         -8          4          2     206.33      97.14     199.51      -0.24
