                    h          k          l         FP      SIGFP      FCalc    PHICalc
         1        -22          1          3      23.85       0.95      74.31       2.41
         2        -22          2          3      51.11       0.95      50.93       0.09
         3        -22          3          1     112.97       0.96     113.87       1.11
         4        -22          3          3     160.43       0.95     157.13      -0.71
         5        -22          5          3     145.62       0.95      55.64      -2.60
         6        -22          5          4     188.50       0.94     175.09      -2.19
         7        -22          6          1     112.72       0.96     139.85      -2.17
         8        -22          6          3     123.73       0.95     140.01       1.48
         9        -22          6          4     125.49       0.94     122.23      -0.21
        10        -22          7          1     116.81       0.96     116.64       1.87
        11        -22          7          3      97.79       0.95      73.12      -2.39
        12        -22          8          1      75.39       0.96     117.38      -1.81
        13        -22          8          3      70.06       0.95      80.02      -2.13
        14        -22          9          1      81.50       0.96      66.66      -1.81
        15        -22          9          3     176.08       0.95     188.18      -0.24
        16        -22         10          1     229.28       0.96     235.29       1.70
        17        -22         10          3     187.55       0.94     161.69       1.58
        18        -22         11          1     116.65       0.96      62.88       2.98
        19        -22         12          1      97.66       0.96      66.38      -0.64
        20        -21          0          1      44.28       0.96      26.66       3.14
        21        -21          0          3     135.24       0.94     118.83       3.14
        22        -21          1          1      42.55       0.96      42.11      -2.73
        23        -21          1          3      67.52       0.94      84.00      -1.00
        24        -21          2          1     167.53       0.96     148.20      -1.86
        25        -21          2          3      96.70       0.94      76.68      -0.22
        26        -21          3          3     113.78       0.94      56.18       1.81
        27        -21          3          4      80.15       0.94     136.42       1.29
        28        -21          4          3     153.70       0.94     190.00       0.83
        29        -21          5          1      72.07       0.96      67.36       1.27
        30        -21          5          3      74.76       0.94      79.12       1.76
        31        -21          5          4     174.70       0.94     153.48      -0.85
        32        -21          6          3     259.34       0.94     182.78      -1.71
        33        -21          6          5     127.66       0.93     113.60       1.96
        34        -21          7          1      86.18       0.96      70.61      -2.14
        35        -21          7          3     106.90       0.94      86.46      -1.37
        36        -21          7          5     117.09       0.93      91.48      -1.19
        37        -21          8          1     179.95       0.96     133.76      -1.85
        38        -21          8          3     251.37       0.94     218.98       1.48
        39        -21          8          5     102.61       0.93      96.97       2.98
        40        -21          9          1      99.01       0.95      90.64       1.86
        41        -21          9          3     211.12       0.94     169.13       3.03
        42        -21          9          5      92.70       0.93      41.44       0.25
        43        -21         11          1     236.71       0.95     198.12      -0.93
        44        -21         11          5      43.66       0.93      92.26      -1.71
        45        -21         12          1     155.73       0.95     116.25       2.64
        46        -21         12          3     117.16       0.94      89.24      -3.14
        47        -21         12          5     119.02       0.93      48.30       3.13
        48        -21         13          1     195.22       0.95     171.01       2.24
        49        -21         13          3      95.55       0.94      57.91       1.13
        50        -21         14          4      70.42       0.94     151.84       0.55
        51        -21         15          5     139.46       0.93     136.94      -1.68
        52        -21         17          4      36.50       0.93      75.92       1.27
        53        -21         18          3      46.46       0.94      78.96      -1.29
        54        -21         19          3      47.93       0.94      20.74       0.71
        55        -21         20          3      40.58       0.94      22.88      -2.41
        56        -20          0          1     104.70       0.95     117.77       3.14
        57        -20          0          3      83.21       0.94      48.74       0.00
        58        -20          1          3      58.23       0.94      31.93       2.14
        59        -20          2          3      54.74       0.94     100.77       0.82
        60        -20          3          1      98.39       0.95      93.60      -2.28
        61        -20          3          3     139.53       0.94      84.51       1.98
        62        -20          3          4     135.17       0.94      77.59      -2.13
        63        -20          4          3      32.03       0.94      53.06      -2.49
        64        -20          4          4      81.58       0.94      65.22      -1.33
        65        -20          5          1     143.07       0.95      94.50      -1.07
        66        -20          5          3      55.85       0.94      22.28       1.32
        67        -20          6          1     101.11       0.95     113.60      -2.56
        68        -20          6          3      96.71       0.94      67.90      -2.80
        69        -20          6          5     134.63       0.93      98.94      -1.83
        70        -20          7          3     132.18       0.94      53.08       2.72
        71        -20          8          1     125.15       0.95     100.49      -1.15
        72        -20          8          2      98.74       0.95     116.25      -2.89
        73        -20          8          3     143.53       0.94      78.45       0.42
        74        -20          8          5      87.38       0.93      66.75       1.08
        75        -20          9          1     138.72       0.95      39.70      -0.60
        76        -20          9          5     169.12       0.93     150.29      -1.14
        77        -20         10          1      42.35       0.95      84.21       1.33
        78        -20         10          3     151.89       0.94      82.41      -1.72
        79        -20         10          5     149.71       0.93     177.90       0.68
        80        -20         11          5     130.50       0.93     149.66       1.31
        81        -20         12          3      78.65       0.94     129.08      -2.81
        82        -20         12          5     112.42       0.93     112.53      -1.82
        83        -20         12          6      88.62       0.92      79.77      -2.92
        84        -20         13          1     103.51       0.95      82.96       2.04
        85        -20         13          3     121.35       0.94     142.54      -2.44
        86        -20         13          5      93.52       0.93      88.35       2.91
        87        -20         14          5     126.51       0.93      68.11      -1.34
        88        -20         15          3      47.19       0.94     100.50       0.74
        89        -20         15          5      53.90       0.93      43.27      -2.68
        90        -20         16          3      71.36       0.94     124.84      -1.54
        91        -20         16          5     135.73       0.93     173.88       0.67
        92        -20         17          5      79.50       0.93      84.54       1.36
        93        -20         18          3      48.60       0.94      39.55       2.59
        94        -20         18          5      71.11       0.93      81.04      -2.93
        95        -20         20          5      53.25       0.92      44.08       1.16
        96        -20         21          5      84.90       0.92      88.57       1.04
        97        -20         22          3      48.64       0.93      70.04       2.82
        98        -20         22          5     118.80       0.92      85.34      -2.34
        99        -20         23          1      81.84       0.94     138.35       0.29
       100        -20         25          1      40.80       0.94      75.72      -1.03
       101        -20         25          3      94.97       0.93      84.34      -2.69
       102        -20         26          1      50.36       0.94     117.02      -0.68
       103        -20         26          3      58.51       0.93      61.67       1.75
       104        -19          1          1      93.87       0.95      87.11      -1.85
       105        -19          1          3      76.73       0.94      56.93      -0.74
       106        -19          2          1     110.79       0.95      78.21       2.08
       107        -19          2          3      75.32       0.94      70.98       2.23
       108        -19          3          1     125.42       0.95     105.58       1.28
       109        -19          3          3     261.19       0.94     238.48       1.91
       110        -19          4          1     104.11       0.95     138.85      -0.84
       111        -19          4          3     208.14       0.94     209.09      -1.88
       112        -19          5          1     163.03       0.95     117.93      -2.21
       113        -19          5          3     111.94       0.94     129.11      -1.24
       114        -19          5          5      75.51       0.93      48.31      -0.19
       115        -19          6          1     109.67       0.95     100.20      -0.37
       116        -19          6          3     108.63       0.94     141.40       1.70
       117        -19          6          5     132.02       0.93     144.43       2.06
       118        -19          7          1      92.73       0.95     161.41      -0.89
       119        -19          7          3      99.77       0.94      68.16      -1.19
       120        -19          7          5     109.68       0.93      70.02      -2.43
       121        -19          7          7      51.71       0.92      62.26      -1.26
       122        -19          8          1     129.56       0.95     102.16       2.74
       123        -19          8          3     112.52       0.94      79.49      -1.32
       124        -19          9          5     137.76       0.93     157.38       1.82
       125        -19         10          3     139.75       0.94     165.23       0.89
       126        -19         11          1     172.50       0.95     112.29       1.53
       127        -19         11          5      90.87       0.93      61.29       1.70
       128        -19         12          1      59.47       0.95     100.59       2.54
       129        -19         12          5      90.83       0.93      73.42       1.82
       130        -19         13          1     117.36       0.95     162.69      -2.16
       131        -19         13          7     149.26       0.92     103.03       1.60
