                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         1        -23          0          5          1      41.30      10.03      26.03       0.00
         2        -23          0          6          1     194.41       5.05     189.60       3.14
         3        -23          0          7          1      43.51       8.28      47.01       0.00
         4        -23          0          8          1     155.35       7.02      73.08       3.14
         5        -23          0          9          1      38.76      16.51      69.85       0.00
         6        -23          0         10          1      45.23      10.10      46.17       0.00
         7        -23          0         11          0      14.51      19.22      74.68       3.14
         8        -23          0         12          1     145.89       8.14     102.37       0.00
         9        -23          0         13          1      61.61      13.30      39.62       3.14
        10        -23          0         15          1     119.99       6.15      88.49       0.00
        11        -23          0         16          1     137.78       8.63      80.12       0.00
        12        -23          0         17          1      45.90      14.23      19.23       3.14
        13        -23          0         18          0       1.74      35.10      76.81       3.14
        14        -23          0         19          1      36.80      14.92      37.39       0.00
        15        -23          1          4          1      66.06       6.37      94.78      -2.38
        16        -23          1          5          1      92.92       3.50     126.46       0.60
        17        -23          1          6          1      32.67      13.63      67.05      -2.36
        18        -23          1          7          1      38.45      11.95      18.14       1.11
        19        -23          1          8          1      62.84       5.00      49.04      -2.05
        20        -23          1          9          1      94.69       4.43     135.06      -2.29
        21        -23          1         10          1      49.47       8.18      88.25      -0.74
        22        -23          1         11          0      51.41      10.40      52.07       2.14
        23        -23          1         12          1      71.46       4.98      36.17      -0.82
        24        -23          1         13          1      48.71       8.06      62.43       0.13
        25        -23          1         14          1      86.16       4.53     110.90      -2.34
        26        -23          1         15          1      45.88       8.36      61.97       1.98
        27        -23          1         16          0     107.50       4.32      19.86      -0.68
        28        -23          1         17          1      46.79      12.50      70.62       0.28
        29        -23          1         18          1      53.99       9.43      40.77      -1.36
        30        -23          1         19          1      89.81      10.32      39.20       2.99
        31        -23          2          4          1      91.24       5.34     112.02       1.27
        32        -23          2          5          0      67.81       5.85      29.42      -2.04
        33        -23          2          6          1     142.09       3.30      98.32       2.00
        34        -23          2          7          1      76.42       4.62      93.08      -2.20
        35        -23          2          8          1     109.67       3.70     155.57       0.65
        36        -23          2          9          1      62.71       5.99      19.30       2.43
        37        -23          2         10          1      48.46       6.87      74.91      -0.19
        38        -23          2         11          1      44.10       7.88      17.93       1.50
        39        -23          2         12          1     113.82       3.65     103.89      -2.48
        40        -23          2         13          1      60.40       6.36     104.46       0.13
        41        -23          2         14          1      35.35      14.73      69.61      -1.01
        42        -23          2         15          1      83.16       5.91      65.44      -0.30
        43        -23          2         16          1     104.83       5.56      91.20      -2.92
        44        -23          2         17          1      28.27      12.15      39.72      -2.78
        45        -23          3          4          1      42.37       6.75      42.30      -3.04
        46        -23          3          5          1      56.86       7.39      73.09       0.15
        47        -23          3          6          1      69.76       4.13      37.78       2.34
        48        -23          3          7          1      89.10       3.56     129.81       2.89
        49        -23          3          8          1      59.53       5.62      73.67      -2.79
        50        -23          3          9          1      63.84       6.25      66.48       2.72
        51        -23          3         10          1      98.51       8.34     161.49      -2.07
