                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         1        -38          0          5          1     354.26     152.61     526.85       3.14
         2        -38          0          6          1     278.31     174.27      10.78       3.14
         3        -38          0          8          1     243.73     232.77     540.21       3.14
         4        -38          0          9          1     266.88     121.62     151.41       0.00
         5        -38          0         10          1     576.77      79.26     642.26       0.00
         6        -38          0         11          1     404.76     130.91     346.47       3.14
         7        -38          0         12          1     355.01     165.93     169.99       3.14
         8        -38          1          4          0     217.65     128.40     216.40       1.73
         9        -38          1          5          1     361.23      62.66     208.22      -2.27
        10        -38          1          6          1     257.11     121.87      97.79       2.10
        11        -38          1          7          1     231.89     174.95      68.28       1.86
        12        -38          1         10          1     176.60     198.53     268.81       0.69
        13        -38          1         12          1     378.51      50.21     204.87       1.37
        14        -38          1         13          1     226.25      48.34     194.69      -3.10
        15        -38          2          5          1     508.91     110.92     444.17      -2.95
        16        -38          2          6          1     338.39      67.60     243.07      -0.13
        17        -38          2          7          1     360.67     108.61     227.08       2.12
        18        -38          2          8          0     128.44     166.59     351.61       2.00
        19        -38          2          9          1     137.58     193.23     208.48       1.12
        20        -38          2         10          1     434.64      36.16     322.86      -0.93
        21        -38          2         12          0     171.76     156.46     103.92       2.96
        22        -38          2         13          1      76.85     386.23     234.91       0.29
        23        -38          3          5          1     250.85     311.99     151.00       0.03
        24        -38          3          7          1     247.08     244.84     127.66      -1.33
        25        -38          3          8          1     268.09     104.22     329.91       0.57
        26        -38          3         11          1     200.67     266.27     109.66       0.16
        27        -38          4          5          1     448.38      69.58     567.67      -2.94
        28        -38          4          7          1     410.06      89.05     504.14       1.98
        29        -38          4          8          1     347.93      60.38     322.19      -0.60
        30        -38          4          9          1     266.89      86.81     187.66      -0.59
        31        -38          4         11          1     134.61     175.34     443.87      -1.05
        32        -38          4         12          1     170.80     194.30     349.32       2.07
        33        -38          5          6          1     142.75     295.52      66.37       1.84
        34        -38          5          8          1     510.18     141.03     149.40      -0.07
        35        -38          5          9          1      63.53     287.23     248.30      -1.65
        36        -38          5         11          1     440.33      94.97     209.20       1.34
        37        -38          6          7          1     348.48     117.66     244.82       1.85
        38        -38          6          8          1     176.31     355.63     181.11       1.15
        39        -38          6         10          1     395.10      51.40     202.97      -2.12
        40        -37          0          1          1     529.51     114.49     319.06       0.00
        41        -37          1          1          1     428.94      79.78     360.64       0.86
        42        -37          1          2          1     206.69     100.83     148.33      -2.05
        43        -37          1          3          1     291.14      79.77     292.17      -1.93
        44        -37          1          4          1     276.07      79.97     327.87      -2.16
        45        -37          1          5          1     111.48     338.85     403.36       1.57
        46        -37          1          6          1     326.66      56.73     266.66      -2.74
        47        -37          1          7          1     386.88     290.82     562.76      -1.63
        48        -37          1          8          1     163.22     101.40     417.84       1.77
        49        -37          1          9          0     441.86      72.25     627.53       0.92
        50        -37          1         11          1     448.50      68.55     295.67      -1.84
        51        -37          1         12          1     148.21     139.61     264.73      -2.85
        52        -37          1         14          1     221.87      50.68     337.40       1.46
        53        -37          2          1          1     359.44     194.57     292.35       0.42
        54        -37          2          3          1     321.52     224.01      74.16      -0.21
        55        -37          2          4          1     285.86      69.37     122.75      -1.79
        56        -37          2          5          1     281.75     134.99     211.09       1.76
        57        -37          2          6          1     187.20     174.23      29.13      -3.12
        58        -37          2         12          1     207.21      72.72     129.95       2.89
        59        -37          2         13          1     140.57     101.48     362.70      -0.06
        60        -37          2         15          1     266.11      65.72     200.45      -0.50
        61        -37          3          2          1     252.97     219.15     401.60       1.59
        62        -37          3          4          1     616.36     172.61     342.75      -1.36
        63        -37          3          5          1     371.34     120.59     195.35       1.77
        64        -37          3          6          1     363.12     271.23     447.53       2.31
        65        -37          3          7          1     406.79      71.72     438.01      -2.83
        66        -37          3          8          1     176.30     143.90     318.16       1.27
        67        -37          3          9          1     381.14      82.08     639.91      -0.04
        68        -37          3         10          1     417.19     129.99     283.16       0.63
        69        -37          3         11          1     512.83      49.54     587.03      -2.53
        70        -37          3         12          1     339.21      59.01     265.53       2.15
        71        -37          3         13          1     269.58      99.86     315.71       1.21
        72        -37          3         14          1      57.82     326.60     240.32       1.83
        73        -37          3         15          1     177.33      72.95     228.80       2.86
        74        -37          4          4          1     274.26      88.99     134.91       1.59
        75        -37          4          5          1     258.68     122.73     157.54      -2.03
        76        -37          4          8          1     250.36     132.52     280.53      -0.83
        77        -37          4          9          1     203.18     158.36     278.70      -0.43
        78        -37          4         10          1     177.81      84.69     203.97       2.45
