                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         1        -19          2          5          1      43.39      18.57      38.60       2.93
         2        -19          2          6          1      60.63      24.72     106.47       0.97
         3        -19          2          7          1       5.45      23.23      28.84       1.89
         4        -19          3          5          1      11.10      18.45      32.72       0.19
         5        -19          3          6          1      11.19      19.24      33.46       0.93
         6        -19          3          7          1      36.82      24.79      18.24      -2.32
         7        -19          4          5          1      51.39      18.27      66.51       0.60
         8        -18          0          1          1      93.98      29.18      78.23       3.14
         9        -18          0          2          1      88.53      27.40     104.84       0.00
        10        -18          0          3          1      23.83      20.81      52.22       0.00
        11        -18          0          4          1      51.31      17.71      70.82       3.14
        12        -18          0          5          0      87.00      23.73      81.29       3.14
        13        -18          0          6          1      58.24      19.30      78.18       0.00
        14        -18          0          7          1      18.22      19.89       7.75       0.00
        15        -18          0          8          1      77.28      24.23      85.30       3.14
        16        -18          0          9          1      25.60      19.70      16.21       0.00
        17        -18          0         10          1      14.72      20.19      21.41       3.14
        18        -18          1          1          1      27.46      19.00      17.50      -1.33
        19        -18          1          2          1      72.88      20.21      75.84      -1.64
        20        -18          1          3          1      38.73      16.87      36.07      -0.29
        21        -18          1          4          1      29.06      13.02      46.95      -2.96
        22        -18          1          5          0       5.58      14.68      56.59      -0.95
        23        -18          1          6          1      84.62      20.67      60.37      -2.16
        24        -18          1          7          1      28.84      15.93      15.99       0.26
        25        -18          1          8          1      53.54      17.42      60.16       0.39
        26        -18          1          9          1      77.19      20.61      81.28      -2.36
        27        -18          1         10          0      61.52      19.22      89.74       1.18
        28        -18          2          1          0      66.35      21.80      83.99       1.60
        29        -18          2          3          1      64.04      19.49      72.29       2.82
        30        -18          2          4          0      90.07      19.97      79.27       1.63
        31        -18          2          5          1      40.98      14.95      32.86       1.65
        32        -18          2          6          1      79.23      19.76      67.01      -2.88
        33        -18          2          7          1      59.18      18.28      70.71      -0.92
        34        -18          2          8          1      89.07      21.66     101.79      -2.82
        35        -18          2          9          0      55.40      18.13      81.63       0.76
        36        -18          2         10          1      87.19      22.31      82.43      -0.48
        37        -18          3          1          1      54.23      22.66      26.92       0.80
        38        -18          3          2          1      62.44      22.61      44.98       2.11
        39        -18          3          3          1      76.01      22.15      71.60       1.57
        40        -18          3          4          1      53.61      15.49      25.09      -1.88
        41        -18          3          5          1      52.87      16.91      29.58      -1.30
        42        -18          3          6          1      45.74      16.27      39.04       2.37
        43        -18          3          8          1      47.70      17.86      64.71      -0.28
        44        -18          3          9          1      59.96      19.91      35.46      -0.98
        45        -18          3         10          1      80.14      22.29      91.84       3.04
        46        -18          4          1          1      33.33      19.11      42.09      -1.11
        47        -18          4          2          1      39.95      21.36      33.59       1.85
        48        -18          4          3          1      60.78      22.23      30.70       0.64
        49        -18          4          4          1      85.10      21.05      80.51      -2.50
        50        -18          4          5          1      40.84      16.98      35.35       1.69
        51        -18          4          6          1      64.76      19.03      42.18      -0.26
        52        -18          4          7          0      52.84      18.82      63.21       0.69
        53        -18          4          8          1      42.93      17.93      53.65      -2.79
        54        -18          4          9          1      75.68      21.20      63.55       0.73
        55        -18          4         10          1      37.75      18.53      56.14      -1.82
        56        -18          5          1          1      19.58      17.44      42.38       2.05
        57        -18          5          2          1      37.61      19.32      41.07       1.77
        58        -18          5          3          0      24.72      17.67      41.03      -2.09
        59        -18          5          4          1      66.46      18.95      55.30       1.47
        60        -18          5          5          1      46.79      16.61      35.04      -1.40
        61        -18          5          6          1      45.01      17.12      32.53      -1.06
        62        -18          5          7          1      62.21      19.24      40.67       0.74
        63        -18          5          8          1      27.69      17.17      31.47       1.75
        64        -18          5          9          0     138.68      33.49     119.19      -2.44
        65        -18          5         10          1      18.61      17.22      33.74       1.54
        66        -18          6          1          1      22.21      17.18      17.16       0.30
        67        -18          6          2          1      48.47      18.68      49.45       2.37
        68        -18          6          3          1      26.76      17.20      36.19      -2.38
        69        -18          6          4          1      37.50      15.33      29.89      -2.01
        70        -18          6          5          1      73.78      18.72      97.68       0.77
        71        -18          6          6          0      37.01      15.67      19.86      -2.36
        72        -18          6          7          1      79.71      23.36      59.03      -0.51
        73        -18          6          8          1      91.26      24.65      90.43       2.22
        74        -18          6          9          1       5.24      15.92      14.79      -2.61
        75        -18          6         10          1      13.55      18.93      23.96      -1.18
        76        -18          7          1          1      64.73      20.71      72.47       0.17
        77        -18          7          2          1      89.99      27.23      76.04      -1.96
        78        -18          7          3          0      39.38      20.28      67.54       1.39
        79        -18          7          4          1      85.69      26.50      70.59      -2.69
        80        -18          7          5          1      56.53      19.80      59.23      -0.86
        81        -18          7          6          1     132.39      33.81     125.03       3.13
        82        -18          7          7          1      56.37      19.42      34.86      -0.06
        83        -18          7          8          1      37.86      16.52      36.65      -1.89
        84        -18          7          9          1      24.20      15.86      37.78       2.56
        85        -18          8          1          1      56.10      18.77      50.06      -2.26
        86        -18          8          2          1      42.70      17.98      70.74       2.12
        87        -18          8          3          1      53.86      15.55      36.22      -0.78
        88        -18          8          4          1     125.65      29.80     121.60       2.52
        89        -18          8          5          0      82.60      20.36      69.62      -1.36
        90        -18          8          6          1      21.82      15.02      19.50       0.20
        91        -18          8          7          1      23.56      16.16      28.35      -2.26
        92        -18          8          8          1      46.15      17.07      27.15       1.06
        93        -18          9          4          1      27.43      15.06      15.61       0.72
        94        -18          9          5          1     103.82      24.23     118.96      -2.58
        95        -17          0          1          1      71.36      24.62      29.74       0.00
        96        -17          0          3          1      72.56      20.66     106.82       3.14
        97        -17          0          4          1     157.55      38.75     139.12       0.00
        98        -17          0          5          1      81.22      24.29      74.41       0.00
        99        -17          0          6          1     141.00      38.68     115.02       3.14
       100        -17          0          7          1      97.93      28.53      55.07       0.00
       101        -17          0          8          1      14.21      20.21      51.11       0.00
       102        -17          0          9          1      61.36      21.76      81.63       3.14
       103        -17          0         10          1      67.52      25.58      78.70       0.00
       104        -17          0         11          1      13.68      21.98      33.16       0.00
       105        -17          0         12          1      31.39      19.94      56.61       3.14
       106        -17          0         13          1      15.02      21.39      52.78       0.00
       107        -17          1          1          1      98.17      26.36      97.65       1.43
       108        -17          1          2          0     118.65      28.47     104.29       2.45
       109        -17          1          3          1      77.18      17.75      85.87      -2.42
       110        -17          1          4          1      92.59      20.87      66.52      -1.82
       111        -17          1          5          0      98.51      23.40      73.11       0.87
       112        -17          1          6          1      36.67      16.61      41.84      -1.83
       113        -17          1          7          1      41.11      17.52      27.89      -0.80
       114        -17          1          8          1      54.55      18.56      61.92       0.07
       115        -17          1          9          1      25.87      17.10      55.38       0.51
       116        -17          1         10          1      55.78      20.61      49.71      -2.17
       117        -17          1         11          1      16.64      19.36      45.20      -3.00
       118        -17          1         13          1      74.77      20.73      69.81      -1.34
       119        -17          2          1          0      40.06      19.83      66.73      -0.51
       120        -17          2          2          1      50.24      17.90      86.20       2.77
       121        -17          2          3          1      26.23      12.03      58.40       0.42
       122        -17          2          4          1      79.82      19.98      68.01      -2.30
       123        -17          2          5          1      45.33      16.23      26.70      -2.82
       124        -17          2          6          1     179.15      38.56     185.20       1.00
       125        -17          2          7          1      78.13      19.87      86.97      -2.25
       126        -17          2          8          1      95.19      23.69     104.68       1.19
       127        -17          2          9          1      49.51      19.26      81.23      -1.84
       128        -17          2         10          1     125.00      30.63     101.24       2.84
       129        -17          2         11          1      32.20      18.53      57.52       1.07
       130        -17          2         12          1      51.40      18.43      60.62      -2.57
       131        -17          3          1          1      56.32      22.41      44.32      -1.77
       132        -17          3          2          1     112.71      33.12     129.50       2.14
       133        -17          3          3          1      52.94      14.35      82.10      -2.09
       134        -17          3          4          1     106.11      24.32     102.58       2.23
       135        -17          3          5          1      73.38      19.03      82.50       0.52
       136        -17          3          6          1      49.19      17.15      60.08       2.07
       137        -17          3          7          1      21.15      16.57      42.38      -2.76
       138        -17          3          8          1      64.09      18.76      61.44       2.31
       139        -17          3          9          1      31.42      18.95      46.53      -1.19
       140        -17          3         10          1     121.82      29.70     142.70       0.25
       141        -17          3         11          1      62.08      19.36      55.72      -2.40
       142        -17          3         12          1      24.86      17.25      53.96       2.86
       143        -17          3         13          1      86.17      24.36      67.77       3.10
       144        -17          4          1          1      37.93      17.43      45.18       0.94
       145        -17          4          2          1      44.95      19.29      43.41      -1.36
       146        -17          4          3          1      76.22      20.97      87.06      -1.74
       147        -17          4          4          1     127.95      29.90     104.24       0.61
       148        -17          4          5          1      77.05      19.53      59.27      -2.57
       149        -17          4          6          1      82.68      21.79     106.68       0.25
       150        -17          4          7          1      23.34      17.60      38.46       1.59
       151        -17          4          8          0      26.39      18.70      43.62      -0.34
       152        -17          4          9          1     127.37      30.90     146.38      -1.93
       153        -17          4         10          1      15.20      16.62      29.86       0.46
       154        -17          4         11          0      51.24      18.01      59.98       0.34
       155        -17          4         12          1      22.68      17.44      37.18       2.61
       156        -17          4         13          1      66.21      23.93      68.63      -1.14
       157        -17          5          1          1      84.43      22.51      45.74       0.94
       158        -17          5          2          1      43.05      17.72      55.51      -1.18
       159        -17          5          3          0      53.73      18.14      20.57       2.37
       160        -17          5          4          0      76.29      23.80      72.49       1.06
       161        -17          5          5          1     153.29      41.91     135.59      -0.45
       162        -17          5          6          1      61.91      23.00      68.33       3.05
       163        -17          5          7          1      40.71      20.76      37.93       1.57
       164        -17          5          8          1      43.78      20.31      46.37      -0.74
       165        -17          5          9          1      59.61      18.12      59.27       0.41
       166        -17          5         10          1      86.55      21.39      83.64      -0.99
       167        -17          5         11          1      61.70      19.56      76.62      -2.73
       168        -17          5         12          1      48.79      18.06      55.36       1.57
       169        -17          5         13          1      23.12      25.65      19.18       1.35
       170        -17          6          1          1      54.23      20.62      45.11      -3.04
       171        -17          6          2          1      89.87      25.28      74.26      -2.93
       172        -17          6          3          1      33.23      15.42      44.04       0.32
       173        -17          6          4          1      55.75      17.82      71.74      -2.68
       174        -17          6          5          0     131.91      31.48     100.12       2.33
       175        -17          6          6          1     115.30      27.54     116.65       0.69
       176        -17          6          7          1     104.00      24.12      84.45      -2.75
       177        -17          6          8          0      91.95      22.07      82.15      -0.07
       178        -17          6          9          1      19.68      16.03      31.01       1.15
       179        -17          6         10          1      55.64      17.77      36.34       1.15
       180        -17          6         11          1      49.09      17.77      39.56       0.30
       181        -17          6         12          1      57.37      18.85      41.69      -1.91
       182        -17          7          1          1      70.80      20.25      54.53      -1.74
       183        -17          7          2          1      37.84      17.70      22.27       0.09
       184        -17          7          3          1      97.91      22.77     102.79      -2.52
       185        -17          7          4          1     117.62      27.80     132.07       0.04
       186        -17          7          5          0     140.80      30.83     129.12      -2.02
