    h   k l FREE    FP  SIGFP  FCalc PHICalc 
1   -36 4 1    1  48.44  0.01  32.16   2.76 
2   -36 5 3    1  11.88  0.01  7.28    2.46  
3   -36 5 4    1  12.40  0.01  37.93   -1.20 
4   -35 4 1    1  44.68  0.01  45.10   2.59  
5   -35 4 2    1  51.11  0.01  59.88   0.24  
6   -35 5 1    1  75.91  0.01  68.71   1.25  
7   -35 5 2    1  59.38  0.01  45.58   1.59  
8   -35 5 3    1  71.12  0.01  57.37   1.02  
9   -35 5 5    1  12.67  0.01  18.57   -0.74 
10  -35 5 6    1  25.09  0.01  14.75   -1.63 
11  -35 6 3    1  94.94  0.01  92.18   -0.67 
12  -35 6 4    0  47.37  0.01  55.84   -1.91 
13  -35 6 5    1  51.27  0.01  38.04   2.13  
14  -35 6 7    1  15.49  0.01  27.13   1.68  
15  -35 6 8    1  42.38  0.01  55.42   0.54  
16  -34 3 1    1  37.80  0.01  43.31   -1.66 
17  -34 3 2    1  26.26  0.01  29.66   1.63  
18  -34 4 1    1  42.56  0.01  32.96   2.67  
19  -34 4 2    1  65.26  0.01  58.73   1.55  
20  -34 4 3    1  17.40  0.01  4.01    1.18  
21  -34 5 1    1  81.47  0.01  64.45   2.81  
22  -34 5 2    1  49.99  0.01  53.20   1.24  
23  -34 5 3    1  79.78  0.01  74.10   -2.85 
24  -34 5 5    1  15.24  0.01  16.77   -2.71 
25  -34 5 10   1  42.17  0.01  53.31   -1.17 
26  -34 5 11   1  48.37  0.01  56.70   0.66  
27  -34 6 3    1  116.92 0.01  94.28   1.18  
28  -34 6 4    1  74.13  0.01  64.29   -2.74 
29  -34 6 5    0  43.70  0.01  38.82   -0.71 
30  -34 6 6    1  46.35  0.01  51.23   -0.05 
31  -34 6 10   1  41.74  0.01  50.37   1.96  
32  -34 7 1    1  138.58 0.01  157.56  0.11  
33  -34 7 2    1  116.60 0.01  117.25  0.37  
34  -34 7 3    0  37.23  0.01  30.00   3.09  
35  -34 7 4    0  43.09  0.01  40.83   -2.43 
36  -34 7 5    1  67.58  0.01  47.55   2.20  
37  -34 7 6    1  38.10  0.01  49.99   2.00  
38  -34 7 7    1  68.75  0.01  57.99   1.31  
39  -34 7 8    1  20.52  0.01  15.54   0.72  
40  -33 3 1    1  78.66  0.01  89.90   0.20  
41  -33 3 2    1  56.92  0.01  63.40   0.20  
42  -33 3 3    1  94.79  0.01  99.82   -1.36 
43  -33 4 1    1  43.23  0.01  40.39   -3.11 
44  -33 4 2    1  49.95  0.01  63.90   -1.14 
45  -33 4 12   1  26.25  0.01  23.69   1.56  
46  -33 5 1    1  64.27  0.01  62.40   2.97  
47  -33 5 2    1  16.63  0.01  23.33   -1.33 
48  -33 5 3    1  14.40  0.01  36.11   0.39  
49  -33 5 4    1  56.81  0.01  57.93   -0.55 
50  -33 5 8    1  13.16  0.01  69.51   1.34  
51  -33 5 9    1  46.17  0.01  58.08   -2.76 
52  -33 5 10   1  42.55  0.01  46.62   -0.42 
53  -33 5 11   1  27.33  0.01  34.87   1.87  
54  -33 6 2    1  102.96 0.01  105.38  -2.91 
55  -33 6 3    1  20.76  0.01  15.81   -1.09 
56  -33 6 4    1  25.86  0.01  14.20   0.53  
57  -33 6 5    1  8.82   0.01  25.70   1.87  
58  -33 6 6    1  54.49  0.01  78.39   2.67  
59  -33 6 7    1  52.32  0.01  43.18   -2.78 
60  -33 6 9    1  40.69  0.01  40.64   -2.84 
61  -33 6 10   1  59.95  0.01  62.18   2.98  
62  -33 6 11   1  75.78  0.01  86.00   -0.01 
63  -33 7 1    1  48.01  0.01  61.69   0.62  
64  -33 7 2    1  117.18 0.01  104.23  2.89  
65  -33 7 3    1  64.20  0.01  60.36   -0.51 
66  -33 7 5    1  39.59  0.01  36.69   1.19  
67  -33 7 6    1  49.37  0.01  50.58   1.16  
68  -33 7 7    1  39.12  0.01  59.92   2.47  
69  -33 7 8    1  23.65  0.01  27.36   0.94  
70  -33 7 9    1  48.68  0.01  71.98   2.53  
71  -33 7 10   1  64.37  0.01  73.15   2.73  
72  -33 8 1    1  52.97  0.01  38.87   -2.92 
73  -33 8 2    1  32.32  0.01  20.37   3.07  
74  -33 8 3    1  41.12  0.01  13.47   2.85  
75  -33 8 4    1  69.27  0.01  65.05   2.12  
76  -33 8 5    1  14.00  0.01  7.34    -2.95 
77  -33 8 6    1  34.16  0.01  24.51   0.32  
78  -33 8 7    1  62.94  0.01  75.76   -2.73 
79  -33 8 8    1  77.39  0.01  105.87  -3.04 
80  -32 2 1    0  71.09  0.01  58.92   -0.38 
81  -32 2 2    1  75.92  0.01  96.97   -1.52 
82  -32 3 2    1  36.85  0.01  24.36   0.25  
83  -32 4 1    1  15.28  0.01  45.42   -2.69 
84  -32 4 2    1  20.28  0.01  11.45   2.76  
85  -32 4 6    1  21.79  0.01  46.93   -0.06 
86  -32 4 10   0  32.24  0.01  33.83   1.02  
87  -32 4 11   1  57.74  0.01  78.46   1.21  
88  -32 4 12   1  13.63  0.01  6.03    -1.24 
89  -32 4 14   1  80.89  0.01  98.28   -3.01 
90  -32 5 1    0  72.01  0.01  49.22   0.72  
91  -32 5 2    1  73.10  0.01  51.46   -0.86 
92  -32 5 3    1  26.25  0.01  39.59   2.18  
93  -32 5 4    1  49.84  0.01  43.50   3.11  
94  -32 5 5    1  57.35  0.01  29.22   1.78  
95  -32 5 8    1  77.32  0.01  67.89   2.87  
96  -32 5 9    1  46.13  0.01  46.08   -2.94 
97  -32 5 11   1  15.55  0.01  15.60   -1.38 
98  -32 5 12   1  22.48  0.01  9.62    -2.47 
99  -32 5 13   1  25.61  0.01  24.89   -2.14 
100 -32 6 1    1  111.61 0.01  113.19  -2.78 
101 -32 6 2    1  51.38  0.01  49.14   0.59  
102 -32 6 4    1  36.40  0.01  30.63   -1.60 
103 -32 6 5    1  11.90  0.01  11.63   1.31  
104 -32 6 6    1  61.78  0.01  66.15   -0.91 
105 -32 6 7    1  48.64  0.01  28.54   3.02  
106 -32 6 8    1  30.22  0.01  47.60   -1.49 
107 -32 6 9    1  32.25  0.01  29.03   0.75  
108 -32 6 10   1  71.06  0.01  56.57   -1.51 
109 -32 6 12   1  43.83  0.01  61.32   -3.01 
110 -32 7 1    1  44.61  0.01  41.78   1.61  
111 -32 7 2    1  45.17  0.01  25.89   -1.40 
