    h   k  l  FP     SIGFP  FCalc  PHICalc 
1   -24 0  23 54.60  45.50  57.71  0.00 
2   -24 0  24 55.67  45.55  82.96  3.14    
3   -24 1  23 66.73  25.28  76.56  1.30    
4   -24 1  24 84.02  21.26  109.92 -0.49   
5   -24 2  23 60.68  28.32  100.08 -2.30   
6   -24 2  24 81.01  22.28  38.94  1.53    
7   -24 3  23 90.06  33.39  95.39  -2.09   
8   -23 0  23 63.47  39.29  94.59  3.14    
9   -23 0  24 59.50  42.36  35.28  0.00    
10  -23 0  25 35.33  70.66  27.35  0.00    
11  -23 1  21 90.46  31.16  92.15  1.96    
12  -23 1  22 133.84 14.09  118.05 -1.20   
13  -23 1  23 81.61  30.23  43.57  1.74    
14  -23 1  24 58.50  30.26  87.31  -0.27   
15  -23 1  25 81.77  31.30  72.98  -1.40   
16  -23 2  21 53.28  53.28  69.88  -1.56   
17  -23 2  22 64.42  27.18  52.80  2.91    
18  -23 2  23 53.41  32.25  31.21  -2.72   
19  -23 2  24 59.52  30.27  84.31  -0.08   
20  -23 2  25 86.85  20.20  40.31  2.51    
21  -23 3  22 67.47  31.22  132.59 0.75    
22  -23 3  23 66.54  32.26  66.29  1.64    
23  -23 3  24 50.47  35.33  73.36  -1.16   
24  -23 3  25 74.76  40.41  83.64  1.55    
25  -23 5  22 58.50  34.29  86.52  0.72    
26  -23 5  23 66.64  30.29  95.57  -2.37   
27  -23 5  24 63.68  33.36  55.77  1.97    
28  -23 6  22 47.45  42.40  99.91  -2.17   
29  -23 6  23 57.61  34.36  40.76  2.22    
30  -23 6  24 49.58  41.48  26.13  1.16    
31  -23 7  22 76.82  24.26  80.96  -2.42   
32  -23 7  23 59.70  31.37  72.37  0.46    
33  -23 8  23 49.65  37.49  45.12  0.87    
34  -22 0  20 13.01  199.10 25.80  0.00    
35  -22 0  21 62.11  42.07  50.60  0.00    
36  -22 0  22 70.20  34.10  30.07  3.14    
37  -22 0  24 41.20  58.28  38.26  3.14    
38  -22 0  25 64.36  38.21  86.71  0.00    
39  -22 0  26 68.43  36.23  81.91  3.14    
40  -22 1  20 84.05  21.01  143.10 0.14    
41  -22 1  21 89.16  20.04  115.06 1.64    
42  -22 1  22 65.19  28.08  100.88 0.48    
43  -22 1  23 122.48 16.06  131.83 -1.15   
44  -22 1  24 94.46  20.10  106.44 1.59    
45  -22 1  25 58.33  31.18  118.45 -2.92   
46  -22 1  26 44.28  37.24  50.19  -1.85   
47  -22 2  20 35.03  63.05  56.59  -1.92   
48  -22 2  21 63.13  36.07  62.89  2.15    
49  -22 2  22 119.38 16.05  64.28  2.36    
50  -22 2  23 79.33  26.11  37.05  1.86    
51  -22 2  24 47.24  36.18  109.36 -0.14   
52  -22 2  25 81.48  21.12  100.90 2.39    
53  -22 2  26 42.28  41.27  38.01  -2.07   
54  -22 3  20 99.13  22.03  154.89 -0.67   
55  -22 3  21 51.13  40.10  40.12  -0.08   
56  -22 3  22 51.19  42.15  66.83  2.58    
57  -22 3  23 69.32  31.14  108.32 -1.83   
58  -22 3  24 85.47  27.15  95.87  2.70    
59  -22 3  25 108.69 16.10  145.90 -0.09   
60  -22 3  26 85.61  24.17  54.87  -2.84   
61  -22 4  21 106.34 23.07  114.29 3.05    
62  -22 4  22 41.18  51.22  35.80  -0.30   
63  -22 4  23 62.33  33.17  74.48  2.82    
64  -22 5  21 70.28  29.12  145.83 -3.00   
65  -22 5  22 155.79 15.08  184.05 -0.73   
66  -22 5  23 69.42  29.18  70.75  1.36    
67  -22 5  24 70.49  28.20  19.73  -1.62   
68  -22 5  25 61.48  34.27  54.51  2.92    
69  -22 6  21 98.49  21.10  175.00 -1.97   
70  -22 6  22 82.50  26.16  99.92  -0.41   
71  -22 6  23 99.71  21.15  89.33  0.69    
72  -22 6  24 55.44  36.29  63.52  -2.17   
73  -22 6  25 40.36  50.44  48.41  -1.03   
74  -22 7  21 58.36  31.19  57.38  -1.32   
75  -22 7  22 49.36  37.27  65.18  1.82    
76  -22 7  23 63.52  29.24  34.17  -1.33   
77  -22 7  24 70.65  26.24  83.39  2.60    
78  -22 7  25 71.72  26.26  69.55  -0.20   
79  -22 8  22 64.56  28.24  50.39  -1.70   
80  -22 8  24 68.72  28.30  72.77  -2.25   
81  -22 9  21 78.71  25.23  42.95  -0.55   
82  -22 9  22 11.11  160.63 36.00  -1.37   
83  -22 9  23 59.66  30.34  48.22  -0.78   
84  -22 9  24 56.68  32.39  83.35  2.87    
85  -22 10 1  157.83 11.62  215.14 2.90    
86  -22 10 22 78.93  25.30  54.29  -2.98   
87  -22 10 23 82.05  26.34  86.21  -0.94   
88  -22 11 1  75.67  24.25  119.72 -0.73   
89  -22 12 1  153.60 12.64  96.11  -1.98   
90  -22 13 1  158.82 13.64  167.19 -1.34   
91  -22 14 1  71.30  23.44  70.20  0.72    
92  -21 0  18 50.74  47.76  29.15  3.14    
93  -21 0  19 71.73  35.86  70.44  0.00    
94  -21 0  20 77.80  33.91  108.96 0.00    
95  -21 0  21 72.89  35.94  18.99  3.14    
96  -21 0  22 73.96  36.98  32.00  0.00    
97  -21 0  23 129.04 20.01  128.69 0.00    
98  -21 0  24 101.11 24.03  84.96  3.14    
99  -21 0  25 56.10  42.07  58.92  0.00    
100 -21 0  26 49.11  48.11  45.83  0.00    
    
