    h  k  l  FP     SIGFP  FC     PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
1   -9 2  1  215.90 134.59 358.02 4.60 312.19 4.60     34.81  4.60 277.37 1.46    0.80 319.99    4.60 
2   -9 3  1  84.67  317.36 104.39 5.97 62.56  6.25     58.32  3.10 120.88 3.10    0.03 69.55     6.18        
3   -9 3  2  254.14 106.03 277.61 1.68 287.68 1.64     159.53 1.64 128.15 4.78    0.88 287.86    1.65        
4   -9 3  3  161.10 172.33 192.45 1.98 191.49 2.11     61.10  5.25 252.59 5.25    0.40 193.69    2.09        
5   -9 4  1  378.41 79.61  498.62 3.81 457.30 3.74     273.87 3.74 183.43 0.60    0.97 471.90    3.75        
6   -9 4  2  315.80 109.38 411.31 2.78 350.13 2.74     230.12 2.74 120.01 5.88    0.92 364.99    2.74        
7   -9 4  3  182.40 152.09 198.55 3.29 184.68 3.20     0.90   3.20 183.78 0.05    0.51 191.42    3.20        
8   -9 4  4  310.54 107.82 383.88 1.34 332.58 1.25     234.97 1.25 97.61  4.39    0.91 348.70    1.25        
9   -9 5  1  359.27 82.39  435.58 4.35 411.51 4.41     276.82 4.41 134.69 1.26    0.96 432.32    4.41        
10  -9 5  2  315.72 109.35 355.74 1.10 318.46 1.11     255.59 1.11 62.86  4.25    0.91 335.48    1.11        
11  -9 5  3  604.87 58.92  513.05 4.53 471.34 4.56     719.36 4.56 248.02 4.56    0.98 499.10    4.56        
12  -9 5  4  338.53 84.77  243.24 2.58 215.18 2.63     399.71 2.63 184.53 2.63    0.91 229.41    2.64        
13  -9 5  5  299.40 103.92 272.71 4.02 278.67 4.03     257.50 4.03 21.17  0.89    0.90 306.82    4.03        
14  -9 6  2  148.57 210.80 124.43 0.25 114.09 0.21     64.47  3.35 178.56 3.35    0.17 123.84    0.20        
15  -9 6  3  253.54 112.75 334.54 4.42 294.82 4.46     144.44 4.46 150.38 1.32    0.87 319.93    4.47        
16  -9 6  4  207.10 138.07 313.49 4.81 250.11 4.83     44.93  4.83 205.18 1.69    0.71 269.97    4.84        
17  -9 6  5  716.00 52.79  890.61 4.44 813.23 4.44     608.26 4.44 204.97 1.30    0.99 887.95    4.44        
18  -9 6  6  356.24 81.47  364.77 4.70 324.95 4.89     348.16 4.89 23.21  4.89    0.94 354.89    4.82        
