h   k l  FREE FP   SIGFP FC   PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
1   -32 0 2  1    27.47 12.63 13.70  3.14 12.27  3.14     20.69  3.14 8.42   3.14    0.60 13.36     3.14 
2   -32 0 4  1    18.86 25.72 3.87   3.14 3.47   3.14     0.97   0.00 4.44   0.00    0.07 4.14      3.14        
3   -32 0 5  1    89.22 5.13  81.37  0.00 72.93  6.28     105.51 6.28 32.58  6.28    1.00 81.33     6.28        
4   -32 0 7  1    25.65 12.43 10.30  0.00 9.19   0.00     14.02  0.00 4.83   0.00    0.45 10.55     0.00        
5   -32 0 8  0    38.50 8.54  55.29  0.00 49.19  0.00     49.19  0.00 0.00   0.00    0.00 55.70     0.00        
6   -32 0 9  1    20.66 21.05 9.75   3.14 8.64   3.14     0.70   3.14 7.94   0.00    0.23 8.87      3.14        
7   -32 1 1  0    60.53 5.06  47.70  3.29 42.60  3.29     42.60  3.29 0.00   0.00    0.00 47.54     3.29        
8   -32 1 2  1    6.12  45.91 31.29  2.64 28.00  2.64     27.54  5.78 55.54  5.78    0.04 31.15     2.64        
9   -32 1 3  1    50.28 6.80  53.20  3.71 47.67  3.71     48.39  3.71 0.72   3.71    0.96 53.71     3.72        
10  -32 1 4  1    32.31 8.64  28.99  1.69 25.99  1.69     28.47  1.69 2.48   1.69    0.84 28.80     1.70        
11  -32 1 5  1    36.98 7.27  28.29  5.16 25.34  5.16     39.40  5.16 14.05  5.16    0.88 28.39     5.16        
12  -32 1 6  1    18.47 12.07 30.79  4.75 27.54  4.75     4.28   1.61 31.82  1.61    0.63 30.46     4.75        
13  -32 1 7  1    56.30 4.40  72.71  5.88 64.87  5.88     44.85  5.88 20.02  2.74    0.97 73.23     5.87        
14  -32 2 1  0    43.53 7.73  48.79  0.77 43.50  0.77     43.50  0.77 0.00   0.00    0.00 48.66     0.76        
15  -32 2 2  0    16.33 21.57 38.23  4.25 34.16  4.25     34.16  4.25 0.00   0.00    0.00 38.25     4.26        
16  -32 2 3  0    54.94 4.57  25.13  0.09 22.48  0.09     22.48  0.09 0.00   0.00    0.00 25.01     0.08        
17  -32 2 4  0    22.79 11.73 32.66  1.90 29.22  1.90     29.22  1.90 0.00   0.00    0.00 32.92     1.89        
18  -32 2 5  1    52.48 6.41  49.99  2.75 44.71  2.75     55.55  2.75 10.84  2.75    0.96 50.19     2.76        
19  -32 2 6  0    54.94 6.17  46.56  0.91 41.58  0.91     41.58  0.91 0.00   0.00    0.00 46.30     0.91        
20  -32 2 7  1    42.59 6.33  55.08  1.43 49.07  1.43     31.82  1.43 17.25  4.57    0.95 54.61     1.43        
21  -32 3 1  1    32.40 8.30  35.12  3.29 31.23  3.29     25.46  3.29 5.76   0.15    0.87 35.58     3.29        
22  -32 3 2  1    28.80 9.34  12.59  4.76 11.22  4.76     19.74  4.76 8.52   4.76    0.54 12.79     4.77        
23  -32 3 3  1    18.20 16.18 42.46  5.53 37.88  5.53     15.17  2.39 53.06  2.39    0.62 42.54     5.54        
24  -32 3 5  1    19.99 15.76 48.30  4.00 43.08  4.00     14.64  0.86 57.72  0.86    0.71 48.46     4.00        
25  -32 3 7  1    41.69 6.22  29.96  3.89 26.62  3.89     48.64  3.89 22.03  3.89    0.90 30.06     3.92        
26  -32 4 2  1    47.67 7.05  32.32  5.69 28.69  5.69     58.78  5.69 30.09  5.69    0.92 31.98     5.70        
27  -32 4 5  1    44.49 7.12  60.53  3.71 53.78  3.71     31.06  3.71 22.72  0.57    0.95 60.20     3.71        
28  -32 4 6  1    32.68 12.04 10.83  3.90 9.61   3.90     19.79  3.90 10.18  3.90    0.45 11.09     3.89        
29  -31 0 1  1    91.36 5.92  78.91  0.00 72.31  6.28     110.40 6.28 38.09  6.28    1.00 78.58     6.28        
30  -31 0 3  1    18.43 18.22 24.16  0.00 22.13  0.00     2.80   3.14 24.92  3.14    0.52 24.30     0.00        
31  -31 0 5  1    39.75 12.26 47.80  3.14 43.79  3.14     35.52  3.14 8.27   0.00    1.00 48.10     3.14        
32  -31 0 7  1    27.85 15.92 44.07  3.14 40.39  3.14     12.64  3.14 27.75  0.00    0.95 43.37     3.14        
33  -31 0 9  1    25.28 12.71 12.41  0.00 11.39  0.00     15.28  0.00 3.89   0.00    0.53 12.51     0.00        
34  -31 0 10 1    12.45 33.64 18.11  3.14 16.62  3.14     13.08  0.00 29.70  0.00    0.14 17.40     3.14        
35  -31 0 11 1    7.20  54.94 4.04   3.14 3.68   3.14     3.57   0.00 7.25   0.00    0.01 3.84      3.14        
36  -31 1 1  1    77.99 3.99  54.92  2.83 50.33  2.83     101.74 2.83 51.41  2.83    0.97 54.92     2.83        
37  -31 1 5  1    47.55 7.10  53.23  0.39 48.77  0.39     41.42  0.39 7.35   3.53    0.95 53.55     0.38        
