     h  k l FREE  FP    SIGFP FCalc PHICalc 
1   -32 0 2  1    26.49 12.18 13.89  3.14 
2   -32 0 4  1    18.19 24.80 4.21   3.14    
3   -32 0 5  1    86.03 4.94  83.34  0.00    
4   -32 0 7  1    24.73 11.99 10.44  0.00    
5   -32 0 8  0    37.13 8.23  56.39  0.00    
6   -32 0 9  1    19.92 20.30 10.01  3.14    
7   -32 1 1  0    58.37 4.88  49.21  -3.00   
8   -32 1 2  1    5.90  44.27 32.21  2.64    
9   -32 1 3  1    48.48 6.56  54.82  -2.57   
10  -32 1 4  1    31.15 8.33  29.78  1.68    
11  -32 1 5  1    35.66 7.01  29.23  -1.12   
12  -32 1 6  1    17.81 11.64 31.70  -1.52   
13  -32 1 7  1    54.28 4.24  74.75  -0.40   
14  -32 2 1  0    41.97 7.45  49.97  0.77    
15  -32 2 2  0    15.74 20.80 39.41  -2.04   
16  -32 2 3  0    52.97 4.40  25.69  0.09    
17  -32 2 4  0    21.97 11.31 33.64  1.90    
18  -32 2 5  1    50.60 6.18  51.37  2.75    
19  -32 2 6  0    52.97 5.95  47.81  0.91    
20  -32 2 7  1    41.07 6.11  56.50  1.43    
21  -32 3 1  1    31.24 8.00  35.92  -3.00   
22  -32 3 2  1    27.77 9.01  12.99  -1.53   
23  -32 3 3  1    17.55 15.60 43.61  -0.75   
24  -32 3 5  1    19.28 15.20 49.27  -2.29   
25  -32 3 7  1    40.20 5.99  30.76  -2.39   
26  -32 4 2  1    45.97 6.79  33.25  -0.58   
27  -32 4 5  1    42.89 6.87  62.20  -2.57   
28  -32 4 6  1    31.51 11.61 11.20  -2.40   
29  -31 0 1  1    88.09 5.71  81.09  0.00    
30  -31 0 3  1    17.77 17.57 25.08  0.00    
31  -31 0 5  1    38.32 11.82 49.23  3.14    
32  -31 0 7  1    26.85 15.35 45.06  3.14    
33  -31 0 9  1    24.38 12.25 12.75  0.00    
34  -31 0 10 1    12.00 32.44 18.52  3.14    
35  -31 0 11 1    6.94  52.97 4.28   3.14    
